"Id", "shipped"
"10248", "2022-07-16"
"10249", "2022-07-10"
"10250", "2022-07-12"
"10251", "2022-07-15"
"10252", "2022-07-11"
"10253", "2022-07-16"
"10254", "2022-07-23"
"10255", "2022-07-15"
"10256", "2022-07-17"
"10257", "2022-07-22"
"10258", "2022-07-23"
"10259", "2022-07-25"
"10260", "2022-07-29"
"10261", "2022-07-30"
"10262", "2022-07-25"
"10263", "2022-07-31"
"10264", "2022-08-23"
"10265", "2022-08-12"
"10266", "2022-07-31"
"10267", "2022-08-06"
"10268", "2022-08-02"
"10269", "2022-08-09"
"10270", "2022-08-02"
"10271", "2022-08-30"
"10272", "2022-08-06"
"10273", "2022-08-12"
"10274", "2022-08-16"
"10275", "2022-08-09"
"10276", "2022-08-14"
"10277", "2022-08-13"
"10278", "2022-08-16"
"10279", "2022-08-16"
"10280", "2022-09-12"
"10281", "2022-08-21"
"10282", "2022-08-21"
"10283", "2022-08-23"
"10284", "2022-08-27"
"10285", "2022-08-26"
"10286", "2022-08-30"
"10287", "2022-08-28"
"10288", "2022-09-03"
"10289", "2022-08-28"
"10290", "2022-09-03"
"10291", "2022-09-04"
"10292", "2022-09-02"
"10293", "2022-09-11"
"10294", "2022-09-05"
"10295", "2022-09-10"
"10296", "2022-09-11"
"10297", "2022-09-10"
"10298", "2022-09-11"
"10299", "2022-09-13"
"10300", "2022-09-18"
"10301", "2022-09-17"
"10302", "2022-10-09"
"10303", "2022-09-18"
"10304", "2022-09-17"
"10305", "2022-10-09"
"10306", "2022-09-23"
"10307", "2022-09-25"
"10308", "2022-09-24"
"10309", "2022-10-23"
"10310", "2022-09-27"
"10311", "2022-09-26"
"10312", "2022-10-03"
"10313", "2022-10-04"
"10314", "2022-10-04"
"10315", "2022-10-03"
"10316", "2022-10-08"
"10317", "2022-10-10"
"10318", "2022-10-04"
"10319", "2022-10-11"
"10320", "2022-10-18"
"10321", "2022-10-11"
"10322", "2022-10-23"
"10323", "2022-10-14"
"10324", "2022-10-10"
"10325", "2022-10-14"
"10326", "2022-10-14"
"10327", "2022-10-14"
"10328", "2022-10-17"
"10329", "2022-10-23"
"10330", "2022-10-28"
"10331", "2022-10-21"
"10332", "2022-10-21"
"10333", "2022-10-25"
"10334", "2022-10-28"
"10335", "2022-10-24"
"10336", "2022-10-25"
"10337", "2022-10-29"
"10338", "2022-10-29"
