"Id", "discount_float"
"10248", "0"
"10248", "0"
"10248", "0"
"10249", "0"
"10249", "0"
"10250", "0"
"10250", "0.15"
"10250", "0.15"
"10251", "0"
"10251", "0.05"
"10251", "0.05"
"10252", "0"
"10252", "0.05"
"10252", "0.05"
"10253", "0"
"10253", "0"
"10253", "0"
"10254", "0"
"10254", "0.15"
"10254", "0.15"
"10255", "0"
"10255", "0"
"10255", "0"
"10255", "0"
"10256", "0"
"10256", "0"
"10257", "0"
"10257", "0"
"10257", "0"
"10258", "0.2"
"10258", "0.2"
"10258", "0.2"
"10259", "0"
"10259", "0"
"10260", "0"
"10260", "0.25"
"10260", "0.25"
"10260", "0.25"
"10261", "0"
"10261", "0"
"10262", "0"
"10262", "0"
"10262", "0.2"
"10263", "0"
"10263", "0.25"
"10263", "0.25"
"10263", "0.25"
"10264", "0"
"10264", "0.15"
"10265", "0"
"10265", "0"
"10266", "0.05"
"10267", "0"
"10267", "0.15"
"10267", "0.15"
"10268", "0"
"10268", "0"
"10269", "0.05"
"10269", "0.05"
"10270", "0"
"10270", "0"
"10271", "0"
"10272", "0"
"10272", "0"
"10272", "0"
"10273", "0"
"10273", "0.05"
"10273", "0.05"
"10273", "0.05"
"10273", "0.05"
"10274", "0"
"10274", "0"
"10275", "0.05"
"10275", "0.05"
"10276", "0"
"10276", "0"
"10277", "0"
"10277", "0"
"10278", "0"
"10278", "0"
"10278", "0"
"10278", "0"
"10279", "0.25"
"10280", "0"
"10280", "0"
"10280", "0"
"10281", "0"
"10281", "0"
"10281", "0"
"10282", "0"
"10282", "0"
"10283", "0"
"10283", "0"
"10283", "0"
"10283", "0"
"10284", "0"
"10284", "0.25"
"10284", "0.25"
"10284", "0.25"
"10285", "0.2"
"10285", "0.2"
"10285", "0.2"
"10286", "0"
"10286", "0"
"10287", "0"
"10287", "0.15"
"10287", "0.15"
"10288", "0.1"
"10288", "0.1"
"10289", "0"
"10289", "0"
"10290", "0"
"10290", "0"
"10290", "0"
"10290", "0"
"10291", "0.1"
"10291", "0.1"
"10291", "0.1"
"10292", "0"
"10293", "0"
"10293", "0"
"10293", "0"
"10293", "0"
"10294", "0"
"10294", "0"
"10294", "0"
"10294", "0"
"10294", "0"
"10295", "0"
"10296", "0"
"10296", "0"
"10296", "0"
"10297", "0"
"10297", "0"
"10298", "0"
"10298", "0"
"10298", "0.25"
"10298", "0.25"
"10299", "0"
"10299", "0"
"10300", "0"
"10300", "0"
"10301", "0"
"10301", "0"
"10302", "0"
"10302", "0"
"10302", "0"
"10303", "0.1"
"10303", "0.1"
"10303", "0.1"
"10304", "0"
"10304", "0"
"10304", "0"
"10305", "0.1"
"10305", "0.1"
"10305", "0.1"
"10306", "0"
"10306", "0"
"10306", "0"
"10307", "0"
"10307", "0"
"10308", "0"
"10308", "0"
"10309", "0"
"10309", "0"
"10309", "0"
"10309", "0"
"10309", "0"
"10310", "0"
"10310", "0"
"10311", "0"
"10311", "0"
"10312", "0"
"10312", "0"
"10312", "0"
"10312", "0"
"10313", "0"
"10314", "0.1"
"10314", "0.1"
"10314", "0.1"
"10315", "0"
"10315", "0"
"10316", "0"
"10316", "0"
"10317", "0"
"10318", "0"
"10318", "0"
"10319", "0"
"10319", "0"
"10319", "0"
"10320", "0"
"10321", "0"
"10322", "0"
"10323", "0"
"10323", "0"
"10323", "0"
"10324", "0"
"10324", "0.15"
"10324", "0.15"
"10324", "0.15"
"10324", "0.15"
"10325", "0"
"10325", "0"
"10325", "0"
"10325", "0"
"10325", "0"
"10326", "0"
"10326", "0"
"10326", "0"
"10327", "0.2"
"10327", "0.2"
"10327", "0.2"
"10327", "0.2"
"10328", "0"
"10328", "0"
"10328", "0"
"10329", "0.05"
"10329", "0.05"
"10329", "0.05"
"10329", "0.05"
"10330", "0.15"
"10330", "0.15"
"10331", "0"
"10332", "0.2"
"10332", "0.2"
"10332", "0.2"
"10333", "0"
"10333", "0.1"
"10333", "0.1"
"10334", "0"
"10334", "0"
"10335", "0.2"
"10335", "0.2"
"10335", "0.2"
"10335", "0.2"
"10336", "0.1"
"10337", "0"
"10337", "0"
"10337", "0"
"10337", "0"
"10337", "0"
"10338", "0"
"10338", "0"
"10339", "0"
"10339", "0"
"10339", "0.05"
"10340", "0.05"
"10340", "0.05"
"10340", "0.05"
"10341", "0"
"10341", "0.15"
"10342", "0.2"
"10342", "0.2"
"10342", "0.2"
"10342", "0.2"
"10343", "0"
"10343", "0"
"10343", "0.05"
"10344", "0"
"10344", "0.25"
"10345", "0"
"10345", "0"
"10345", "0"
"10346", "0"
"10346", "0.1"
"10347", "0"
"10347", "0"
"10347", "0.15"
"10347", "0.15"
"10348", "0"
"10348", "0.15"
"10349", "0"
"10350", "0.1"
"10350", "0.1"
"10351", "0"
"10351", "0.05"
"10351", "0.05"
"10351", "0.05"
"10352", "0"
"10352", "0.15"
"10353", "0.2"
"10353", "0.2"
"10354", "0"
"10354", "0"
"10355", "0"
"10355", "0"
"10356", "0"
"10356", "0"
"10356", "0"
"10357", "0"
"10357", "0.2"
"10357", "0.2"
"10358", "0.05"
"10358", "0.05"
"10358", "0.05"
"10359", "0.05"
"10359", "0.05"
"10359", "0.05"
"10360", "0"
"10360", "0"
"10360", "0"
"10360", "0"
"10360", "0"
"10361", "0.1"
"10361", "0.1"
"10362", "0"
"10362", "0"
"10362", "0"
"10363", "0"
"10363", "0"
"10363", "0"
"10364", "0"
"10364", "0"
"10365", "0"
"10366", "0"
"10366", "0"
"10367", "0"
"10367", "0"
"10367", "0"
"10367", "0"
"10368", "0"
"10368", "0.1"
"10368", "0.1"
"10368", "0.1"
"10369", "0"
"10369", "0.25"
"10370", "0"
"10370", "0.15"
"10370", "0.15"
"10371", "0.2"
"10372", "0.25"
"10372", "0.25"
"10372", "0.25"
"10372", "0.25"
"10373", "0.2"
"10373", "0.2"
"10374", "0"
"10374", "0"
"10375", "0"
"10375", "0"
"10376", "0.05"
"10377", "0.15"
"10377", "0.15"
"10378", "0"
"10379", "0.1"
"10379", "0.1"
"10379", "0.1"
"10380", "0"
"10380", "0.1"
"10380", "0.1"
"10380", "0.1"
"10381", "0"
"10382", "0"
"10382", "0"
"10382", "0"
"10382", "0"
"10382", "0"
"10383", "0"
"10383", "0"
"10383", "0"
"10384", "0"
"10384", "0"
"10385", "0.2"
"10385", "0.2"
"10385", "0.2"
"10386", "0"
"10386", "0"
"10387", "0"
"10387", "0"
"10387", "0"
"10387", "0"
"10388", "0"
"10388", "0.2"
"10388", "0.2"
"10389", "0"
"10389", "0"
"10389", "0"
"10389", "0"
"10390", "0"
"10390", "0.1"
"10390", "0.1"
"10390", "0.1"
"10391", "0"
"10392", "0"
"10393", "0"
"10393", "0.25"
"10393", "0.25"
"10393", "0.25"
"10393", "0.25"
"10394", "0"
"10394", "0"
"10395", "0"
"10395", "0.1"
"10395", "0.1"
"10396", "0"
"10396", "0"
"10396", "0"
"10397", "0.15"
"10397", "0.15"
"10398", "0"
"10398", "0.1"
"10399", "0"
"10399", "0"
"10399", "0"
"10399", "0"
"10400", "0"
"10400", "0"
"10400", "0"
"10401", "0"
"10401", "0"
"10401", "0"
"10401", "0"
"10402", "0"
"10402", "0"
"10403", "0.15"
"10403", "0.15"
"10404", "0.05"
"10404", "0.05"
"10404", "0.05"
"10405", "0"
"10406", "0"
"10406", "0.1"
"10406", "0.1"
"10406", "0.1"
"10406", "0.1"
"10407", "0"
"10407", "0"
"10407", "0"
"10408", "0"
"10408", "0"
"10408", "0"
"10409", "0"
"10409", "0"
"10410", "0"
"10410", "0"
"10411", "0.2"
"10411", "0.2"
"10411", "0.2"
"10412", "0.1"
"10413", "0"
"10413", "0"
"10413", "0"
"10414", "0"
"10414", "0.05"
"10415", "0"
"10415", "0"
"10416", "0"
"10416", "0"
"10416", "0"
"10417", "0"
"10417", "0"
"10417", "0.25"
"10417", "0.25"
"10418", "0"
"10418", "0"
"10418", "0"
"10418", "0"
"10419", "0.05"
"10419", "0.05"
"10420", "0.1"
"10420", "0.1"
"10420", "0.1"
"10420", "0.1"
"10421", "0"
"10421", "0.15"
"10421", "0.15"
"10421", "0.15"
"10422", "0"
"10423", "0"
"10423", "0"
"10424", "0.2"
"10424", "0.2"
"10424", "0.2"
"10425", "0.25"
"10425", "0.25"
"10426", "0"
"10426", "0"
"10427", "0"
"10428", "0"
"10429", "0"
"10429", "0.25"
"10430", "0"
"10430", "0"
"10430", "0.2"
"10430", "0.2"
"10431", "0.25"
"10431", "0.25"
"10431", "0.25"
"10432", "0"
"10432", "0"
"10433", "0"
"10434", "0"
"10434", "0.15"
"10435", "0"
"10435", "0"
"10435", "0"
"10436", "0"
"10436", "0.1"
"10436", "0.1"
"10436", "0.1"
"10437", "0"
"10438", "0.2"
"10438", "0.2"
"10438", "0.2"
"10439", "0"
"10439", "0"
"10439", "0"
"10439", "0"
"10440", "0.15"
"10440", "0.15"
"10440", "0.15"
"10440", "0.15"
"10441", "0"
"10442", "0"
"10442", "0"
"10442", "0"
"10443", "0"
"10443", "0.2"
"10444", "0"
"10444", "0"
"10444", "0"
"10444", "0"
"10445", "0"
"10445", "0"
"10446", "0.1"
"10446", "0.1"
"10446", "0.1"
"10446", "0.1"
"10447", "0"
"10447", "0"
"10447", "0"
"10448", "0"
"10448", "0"
"10449", "0"
"10449", "0"
"10449", "0"
"10450", "0.2"
"10450", "0.2"
"10451", "0.1"
"10451", "0.1"
"10451", "0.1"
"10451", "0.1"
"10452", "0"
"10452", "0.05"
"10453", "0.1"
"10453", "0.1"
"10454", "0.2"
"10454", "0.2"
"10454", "0.2"
"10455", "0"
"10455", "0"
"10455", "0"
"10455", "0"
"10456", "0.15"
"10456", "0.15"
"10457", "0"
"10458", "0"
"10458", "0"
"10458", "0"
"10458", "0"
"10458", "0"
"10459", "0"
"10459", "0.05"
"10459", "0.05"
"10460", "0.25"
"10460", "0.25"
"10461", "0.25"
"10461", "0.25"
"10461", "0.25"
"10462", "0"
"10462", "0"
"10463", "0"
"10463", "0"
"10464", "0"
"10464", "0"
"10464", "0.2"
"10464", "0.2"
"10465", "0"
"10465", "0"
"10465", "0"
"10465", "0.1"
"10465", "0.1"
"10466", "0"
"10466", "0"
"10467", "0"
"10467", "0"
"10468", "0"
"10468", "0"
"10469", "0.15"
"10469", "0.15"
"10469", "0.15"
"10470", "0"
"10470", "0"
"10470", "0"
"10471", "0"
"10471", "0"
"10472", "0"
"10472", "0.05"
"10473", "0"
"10473", "0"
"10474", "0"
"10474", "0"
"10474", "0"
"10474", "0"
"10475", "0.15"
"10475", "0.15"
"10475", "0.15"
"10476", "0"
"10476", "0.05"
"10477", "0"
"10477", "0.25"
"10477", "0.25"
"10478", "0.05"
"10479", "0"
"10479", "0"
"10479", "0"
"10479", "0"
"10480", "0"
"10480", "0"
"10481", "0"
"10481", "0"
"10482", "0"
"10483", "0.05"
"10483", "0.05"
"10484", "0"
"10484", "0"
"10484", "0"
"10485", "0.1"
"10485", "0.1"
"10485", "0.1"
"10485", "0.1"
"10486", "0"
"10486", "0"
"10486", "0"
"10487", "0"
"10487", "0"
"10487", "0.25"
"10488", "0"
"10488", "0.2"
"10489", "0"
"10489", "0.25"
"10490", "0"
"10490", "0"
"10490", "0"
"10491", "0.15"
"10491", "0.15"
"10492", "0.05"
"10492", "0.05"
"10493", "0.1"
"10493", "0.1"
"10493", "0.1"
"10494", "0"
"10495", "0"
"10495", "0"
"10495", "0"
"10496", "0.05"
"10497", "0"
"10497", "0"
"10497", "0"
"10498", "0"
"10498", "0"
"10498", "0"
"10499", "0"
"10499", "0"
"10500", "0.05"
"10500", "0.05"
"10501", "0"
"10502", "0"
"10502", "0"
"10502", "0"
"10503", "0"
"10503", "0"
"10504", "0"
"10504", "0"
"10504", "0"
"10504", "0"
"10505", "0"
"10506", "0.1"
"10506", "0.1"
"10507", "0.15"
"10507", "0.15"
"10508", "0"
"10508", "0"
"10509", "0"
"10510", "0"
"10510", "0.1"
"10511", "0.15"
"10511", "0.15"
"10511", "0.15"
"10512", "0.15"
"10512", "0.15"
"10512", "0.15"
"10512", "0.15"
"10513", "0.2"
"10513", "0.2"
"10513", "0.2"
"10514", "0"
"10514", "0"
"10514", "0"
"10514", "0"
"10514", "0"
"10515", "0"
"10515", "0"
"10515", "0.15"
"10515", "0.15"
"10515", "0.15"
"10516", "0"
"10516", "0.1"
"10516", "0.1"
"10517", "0"
"10517", "0"
"10517", "0"
"10518", "0"
"10518", "0"
"10518", "0"
"10519", "0"
"10519", "0.05"
"10519", "0.05"
"10520", "0"
"10520", "0"
"10521", "0"
"10521", "0"
"10521", "0"
"10522", "0"
"10522", "0.2"
"10522", "0.2"
"10522", "0.2"
"10523", "0.1"
"10523", "0.1"
"10523", "0.1"
"10523", "0.1"
"10524", "0"
"10524", "0"
"10524", "0"
"10524", "0"
"10525", "0"
"10525", "0.1"
"10526", "0"
"10526", "0.15"
"10526", "0.15"
"10527", "0.1"
"10527", "0.1"
"10528", "0"
"10528", "0"
"10528", "0.2"
"10529", "0"
"10529", "0"
"10529", "0"
"10530", "0"
"10530", "0"
"10530", "0"
"10530", "0"
"10531", "0"
"10532", "0"
"10532", "0"
"10533", "0"
"10533", "0.05"
"10533", "0.05"
"10534", "0"
"10534", "0.2"
"10534", "0.2"
"10535", "0.1"
"10535", "0.1"
"10535", "0.1"
"10535", "0.1"
"10536", "0"
"10536", "0"
"10536", "0.25"
"10536", "0.25"
"10537", "0"
"10537", "0"
"10537", "0"
"10537", "0"
"10537", "0"
"10538", "0"
"10538", "0"
"10539", "0"
"10539", "0"
"10539", "0"
"10539", "0"
"10540", "0"
"10540", "0"
"10540", "0"
"10540", "0"
"10541", "0.1"
"10541", "0.1"
"10541", "0.1"
"10541", "0.1"
"10542", "0.05"
"10542", "0.05"
"10543", "0.15"
"10543", "0.15"
"10544", "0"
"10544", "0"
"10545", "0"
"10546", "0"
"10546", "0"
"10546", "0"
"10547", "0"
"10547", "0.15"
"10548", "0"
"10548", "0.25"
"10549", "0.15"
"10549", "0.15"
"10549", "0.15"
"10550", "0"
"10550", "0.1"
"10550", "0.1"
"10550", "0.1"
"10551", "0"
"10551", "0.15"
"10551", "0.15"
"10552", "0"
"10552", "0"
"10553", "0"
"10553", "0"
"10553", "0"
"10553", "0"
"10553", "0"
"10554", "0.05"
"10554", "0.05"
"10554", "0.05"
"10554", "0.05"
"10555", "0.2"
"10555", "0.2"
"10555", "0.2"
"10555", "0.2"
"10555", "0.2"
"10556", "0"
"10557", "0"
"10557", "0"
"10558", "0"
"10558", "0"
"10558", "0"
"10558", "0"
"10558", "0"
"10559", "0.05"
"10559", "0.05"
"10560", "0"
"10560", "0.25"
"10561", "0"
"10561", "0"
"10562", "0.1"
"10562", "0.1"
"10563", "0"
"10563", "0"
"10564", "0.05"
"10564", "0.05"
"10564", "0.05"
