"Id", "unit_price_int"
"10248", "10"
"10248", "14"
"10248", "35"
"10249", "19"
"10249", "42"
"10250", "17"
"10250", "42"
"10250", "8"
"10251", "16"
"10251", "17"
"10251", "17"
"10252", "2"
"10252", "27"
"10252", "65"
"10253", "10"
"10253", "14"
"10253", "16"
"10254", "19"
"10254", "4"
"10254", "8"
"10255", "14"
"10255", "15"
"10255", "15"
"10255", "44"
"10256", "10"
"10256", "26"
"10257", "10"
"10257", "14"
"10257", "35"
"10258", "15"
"10258", "17"
"10258", "26"
"10259", "21"
"10259", "8"
"10260", "12"
"10260", "16"
"10260", "39"
"10260", "8"
"10261", "14"
"10261", "8"
"10262", "17"
"10262", "24"
"10262", "30"
"10263", "14"
"10263", "21"
"10263", "4"
"10263", "8"
"10264", "15"
"10264", "8"
"10265", "12"
"10265", "31"
"10266", "30"
"10267", "14"
"10267", "15"
"10267", "44"
"10268", "28"
"10268", "99"
"10269", "2"
"10269", "28"
"10270", "15"
"10270", "37"
"10271", "2"
"10272", "10"
"10272", "28"
"10272", "65"
"10273", "10"
"10273", "14"
"10273", "15"
"10273", "2"
"10273", "25"
"10274", "17"
"10274", "28"
"10275", "4"
"10275", "44"
"10276", "25"
"10276", "5"
"10277", "36"
"10277", "39"
"10278", "12"
"10278", "16"
"10278", "35"
"10278", "44"
"10279", "31"
"10280", "19"
"10280", "4"
"10280", "6"
"10281", "14"
"10281", "4"
"10281", "7"
"10282", "16"
"10282", "21"
"10283", "12"
"10283", "27"
"10283", "28"
"10283", "7"
"10284", "11"
"10284", "16"
"10284", "27"
"10284", "35"
"10285", "14"
"10285", "15"
"10285", "26"
"10286", "14"
"10286", "39"
"10287", "10"
"10287", "11"
"10287", "14"
"10288", "10"
"10288", "6"
"10289", "27"
"10289", "8"
"10290", "10"
"10290", "16"
"10290", "17"
"10290", "99"
"10291", "16"
"10291", "42"
"10291", "5"
"10292", "65"
"10293", "35"
"10293", "4"
"10293", "50"
"10293", "6"
"10294", "14"
"10294", "27"
"10294", "31"
"10294", "37"
"10294", "6"
"10295", "30"
"10296", "14"
"10296", "17"
"10296", "29"
"10297", "14"
"10297", "28"
"10298", "15"
"10298", "15"
"10298", "39"
"10298", "44"
"10299", "12"
"10299", "7"
"10300", "10"
"10300", "14"
"10301", "15"
"10301", "30"
"10302", "31"
"10302", "36"
"10302", "37"
"10303", "10"
"10303", "15"
"10303", "17"
"10304", "16"
"10304", "17"
"10304", "44"
"10305", "14"
"10305", "50"
"10305", "99"
"10306", "21"
"10306", "26"
"10306", "6"
"10307", "10"
"10307", "39"
"10308", "12"
"10308", "29"
"10309", "11"
"10309", "17"
"10309", "18"
"10309", "20"
"10309", "37"
"10310", "14"
"10310", "39"
"10311", "11"
"10311", "29"
"10312", "26"
"10312", "36"
"10312", "37"
"10312", "6"
"10313", "15"
"10314", "11"
"10314", "26"
"10314", "39"
"10315", "11"
"10315", "12"
"10316", "39"
"10316", "8"
"10317", "14"
"10318", "14"
"10318", "8"
"10319", "14"
"10319", "31"
"10319", "36"
"10320", "17"
"10321", "14"
"10322", "6"
"10323", "11"
"10323", "12"
"10323", "14"
"10324", "10"
"10324", "14"
"10324", "14"
"10324", "35"
"10324", "44"
"10325", "10"
"10325", "19"
"10325", "20"
"10325", "28"
"10325", "5"
"10326", "16"
"10326", "18"
"10326", "6"
"10327", "11"
"10327", "15"
"10327", "17"
"10327", "21"
"10328", "10"
"10328", "17"
"10328", "44"
"10329", "21"
"10329", "211"
"10329", "30"
"10329", "7"
"10330", "25"
"10330", "28"
"10331", "6"
"10332", "11"
"10332", "50"
"10332", "8"
"10333", "17"
"10333", "19"
"10333", "8"
"10334", "10"
"10334", "6"
"10335", "10"
"10335", "15"
"10335", "26"
"10335", "42"
"10336", "18"
"10337", "15"
"10337", "21"
"10337", "25"
"10337", "28"
"10337", "7"
"10338", "21"
"10338", "31"
"10339", "18"
"10339", "31"
"10339", "39"
"10340", "37"
"10340", "50"
"10340", "8"
"10341", "2"
"10341", "44"
"10342", "10"
"10342", "15"
"10342", "15"
"10342", "19"
"10343", "10"
"10343", "14"
"10343", "27"
"10344", "18"
"10344", "32"
"10345", "11"
"10345", "32"
"10345", "7"
"10346", "30"
"10346", "31"
"10347", "11"
"10347", "14"
"10347", "15"
"10347", "6"
"10348", "14"
"10348", "7"
"10349", "6"
"10350", "13"
"10350", "29"
"10351", "16"
"10351", "17"
"10351", "211"
"10351", "8"
"10352", "4"
"10352", "6"
"10353", "17"
"10353", "211"
"10354", "14"
"10354", "99"
"10355", "16"
"10355", "4"
"10356", "10"
"10356", "19"
"10356", "29"
"10357", "25"
"10357", "25"
"10357", "27"
"10358", "11"
"10358", "15"
"10358", "4"
"10359", "10"
"10359", "14"
"10359", "27"
"10360", "16"
"10360", "211"
"10360", "36"
"10360", "6"
"10360", "99"
"10361", "14"
"10361", "27"
"10362", "11"
"10362", "42"
"10362", "6"
"10363", "10"
"10363", "14"
"10363", "6"
"10364", "17"
"10364", "29"
"10365", "17"
"10366", "10"
"10366", "17"
"10367", "10"
"10367", "11"
"10367", "17"
"10367", "6"
"10368", "16"
"10368", "27"
"10368", "36"
"10368", "8"
"10369", "30"
"10369", "99"
"10370", "14"
"10370", "27"
"10370", "8"
"10371", "15"
"10372", "211"
"10372", "27"
"10372", "28"
