"Id", "qty_smallint"
"10248", "10"
"10248", "12"
"10248", "5"
"10249", "40"
"10249", "9"
"10250", "10"
"10250", "15"
"10250", "35"
"10251", "15"
"10251", "20"
"10251", "6"
"10252", "25"
"10252", "40"
"10252", "40"
"10253", "20"
"10253", "40"
"10253", "42"
"10254", "15"
"10254", "21"
"10254", "21"
"10255", "20"
"10255", "25"
"10255", "30"
"10255", "35"
"10256", "12"
"10256", "15"
"10257", "15"
"10257", "25"
"10257", "6"
"10258", "50"
"10258", "6"
"10258", "65"
"10259", "1"
"10259", "10"
"10260", "15"
"10260", "16"
"10260", "21"
"10260", "50"
"10261", "20"
"10261", "20"
"10262", "12"
"10262", "15"
"10262", "2"
"10263", "28"
"10263", "36"
"10263", "60"
"10263", "60"
"10264", "25"
"10264", "35"
"10265", "20"
"10265", "30"
"10266", "12"
"10267", "15"
"10267", "50"
"10267", "70"
"10268", "10"
"10268", "4"
"10269", "20"
"10269", "60"
"10270", "25"
"10270", "30"
"10271", "24"
"10272", "24"
"10272", "40"
"10272", "6"
"10273", "15"
"10273", "20"
"10273", "24"
"10273", "33"
"10273", "60"
"10274", "20"
"10274", "7"
"10275", "12"
"10275", "6"
"10276", "10"
"10276", "15"
"10277", "12"
"10277", "20"
"10278", "15"
"10278", "16"
"10278", "25"
"10278", "8"
"10279", "15"
"10280", "12"
"10280", "20"
"10280", "30"
"10281", "1"
"10281", "4"
"10281", "6"
"10282", "2"
"10282", "6"
"10283", "18"
"10283", "20"
"10283", "3"
"10283", "35"
"10284", "15"
"10284", "20"
"10284", "21"
"10284", "5"
"10285", "36"
"10285", "40"
"10285", "45"
"10286", "100"
"10286", "40"
"10287", "15"
"10287", "20"
"10287", "40"
"10288", "10"
"10288", "3"
"10289", "30"
"10289", "9"
"10290", "10"
"10290", "15"
"10290", "15"
"10290", "20"
"10291", "2"
"10291", "20"
"10291", "24"
"10292", "20"
"10293", "10"
"10293", "12"
"10293", "5"
"10293", "6"
"10294", "15"
"10294", "15"
"10294", "18"
"10294", "21"
"10294", "6"
"10295", "4"
"10296", "12"
"10296", "15"
"10296", "30"
"10297", "20"
"10297", "60"
"10298", "15"
"10298", "30"
"10298", "40"
"10298", "40"
"10299", "15"
"10299", "20"
"10300", "20"
"10300", "30"
"10301", "10"
"10301", "20"
"10302", "12"
"10302", "28"
"10302", "40"
"10303", "15"
"10303", "30"
"10303", "40"
"10304", "10"
"10304", "2"
"10304", "30"
"10305", "25"
"10305", "25"
"10305", "30"
"10306", "10"
"10306", "10"
"10306", "5"
"10307", "10"
"10307", "3"
"10308", "1"
"10308", "5"
"10309", "2"
"10309", "20"
"10309", "20"
"10309", "3"
"10309", "30"
"10310", "10"
"10310", "5"
"10311", "6"
"10311", "7"
"10312", "10"
"10312", "20"
"10312", "24"
"10312", "4"
"10313", "12"
"10314", "25"
"10314", "30"
"10314", "40"
"10315", "14"
"10315", "30"
"10316", "10"
"10316", "70"
"10317", "20"
"10318", "20"
"10318", "6"
"10319", "14"
"10319", "30"
"10319", "8"
"10320", "30"
"10321", "10"
"10322", "20"
"10323", "4"
"10323", "4"
"10323", "5"
"10324", "21"
"10324", "30"
"10324", "40"
"10324", "70"
"10324", "80"
"10325", "12"
"10325", "4"
"10325", "40"
"10325", "6"
"10325", "9"
"10326", "16"
"10326", "24"
"10326", "50"
"10327", "25"
"10327", "30"
"10327", "35"
"10327", "50"
"10328", "10"
"10328", "40"
"10328", "9"
"10329", "10"
"10329", "12"
"10329", "20"
"10329", "8"
"10330", "25"
"10330", "50"
"10331", "15"
"10332", "10"
"10332", "16"
"10332", "40"
"10333", "10"
"10333", "10"
"10333", "40"
"10334", "10"
"10334", "8"
"10335", "25"
"10335", "48"
"10335", "6"
"10335", "7"
"10336", "18"
"10337", "20"
"10337", "24"
"10337", "25"
"10337", "28"
"10337", "40"
"10338", "15"
"10338", "20"
"10339", "10"
"10339", "28"
"10339", "70"
"10340", "12"
"10340", "20"
"10340", "40"
"10341", "8"
"10341", "9"
"10342", "24"
"10342", "40"
"10342", "40"
"10342", "56"
"10343", "15"
"10343", "4"
"10343", "50"
"10344", "35"
"10344", "70"
"10345", "70"
"10345", "80"
"10345", "9"
"10346", "20"
"10346", "36"
"10347", "10"
"10347", "4"
"10347", "50"
"10347", "6"
"10348", "15"
"10348", "25"
"10349", "24"
"10350", "15"
"10350", "18"
"10351", "10"
"10351", "13"
"10351", "20"
"10351", "77"
"10352", "10"
"10352", "20"
"10353", "12"
"10353", "50"
"10354", "12"
"10354", "4"
"10355", "25"
"10355", "25"
"10356", "12"
"10356", "20"
"10356", "30"
"10357", "16"
"10357", "30"
"10357", "8"
"10358", "10"
"10358", "10"
"10358", "20"
"10359", "56"
"10359", "70"
"10359", "80"
"10360", "10"
"10360", "28"
"10360", "30"
"10360", "35"
"10360", "35"
"10361", "54"
"10361", "55"
"10362", "20"
"10362", "24"
"10362", "50"
"10363", "12"
"10363", "12"
"10363", "20"
"10364", "30"
"10364", "5"
"10365", "24"
"10366", "5"
"10366", "5"
"10367", "15"
"10367", "18"
"10367", "36"
"10367", "7"
"10368", "13"
"10368", "25"
"10368", "35"
"10368", "5"
"10369", "18"
"10369", "20"
"10370", "15"
"10370", "20"
"10370", "30"
"10371", "6"
"10372", "12"
"10372", "40"
"10372", "42"
"10372", "70"
"10373", "50"
"10373", "80"
"10374", "15"
"10374", "30"
"10375", "10"
"10375", "15"
"10376", "42"
"10377", "20"
"10377", "20"
"10378", "6"
"10379", "16"
"10379", "20"
"10379", "8"
"10380", "18"
"10380", "20"
"10380", "30"
"10380", "6"
"10381", "14"
"10382", "14"
"10382", "32"
"10382", "50"
"10382", "60"
"10382", "9"
"10383", "15"
"10383", "20"
"10383", "20"
"10384", "15"
"10384", "28"
"10385", "10"
"10385", "20"
"10385", "8"
"10386", "10"
"10386", "15"
"10387", "12"
"10387", "15"
"10387", "15"
"10387", "6"
"10388", "15"
"10388", "20"
"10388", "40"
"10389", "15"
"10389", "16"
"10389", "20"
"10389", "30"
"10390", "24"
"10390", "40"
"10390", "45"
"10390", "60"
"10391", "18"
"10392", "50"
"10393", "25"
"10393", "32"
"10393", "42"
"10393", "7"
"10393", "70"
"10394", "10"
"10394", "10"
"10395", "28"
"10395", "70"
"10395", "8"
"10396", "21"
"10396", "40"
"10396", "60"
"10397", "10"
"10397", "18"
"10398", "120"
"10398", "30"
"10399", "14"
"10399", "30"
"10399", "35"
"10399", "60"
"10400", "21"
"10400", "30"
"10400", "35"
"10401", "18"
"10401", "20"
"10401", "60"
"10401", "70"
"10402", "60"
"10402", "65"
"10403", "21"
"10403", "70"
"10404", "30"
"10404", "30"
"10404", "40"
"10405", "50"
"10406", "10"
"10406", "2"
"10406", "30"
"10406", "42"
"10406", "5"
"10407", "15"
"10407", "15"
"10407", "30"
"10408", "10"
"10408", "35"
"10408", "6"
"10409", "12"
"10409", "12"
"10410", "16"
"10410", "49"
"10411", "25"
"10411", "40"
"10411", "9"
"10412", "20"
"10413", "14"
"10413", "24"
"10413", "40"
"10414", "18"
"10414", "50"
"10415", "2"
"10415", "20"
"10416", "10"
"10416", "20"
"10416", "20"
"10417", "2"
"10417", "35"
"10417", "36"
"10417", "50"
"10418", "15"
"10418", "16"
"10418", "55"
"10418", "60"
"10419", "20"
"10419", "60"
"10420", "2"
"10420", "20"
"10420", "20"
"10420", "8"
"10421", "10"
"10421", "15"
"10421", "30"
"10421", "4"
"10422", "2"
"10423", "14"
"10423", "20"
"10424", "30"
"10424", "49"
"10424", "60"
"10425", "10"
"10425", "20"
"10426", "5"
"10426", "7"
"10427", "35"
"10428", "20"
"10429", "35"
"10429", "40"
"10430", "30"
"10430", "45"
"10430", "50"
"10430", "70"
"10431", "30"
"10431", "50"
"10431", "50"
"10432", "10"
"10432", "40"
"10433", "28"
"10434", "18"
"10434", "6"
"10435", "10"
"10435", "10"
"10435", "12"
"10436", "24"
"10436", "30"
"10436", "40"
"10436", "5"
"10437", "15"
"10438", "15"
"10438", "15"
"10438", "20"
"10439", "15"
"10439", "16"
"10439", "30"
"10439", "6"
"10440", "24"
"10440", "45"
"10440", "49"
"10440", "90"
"10441", "50"
"10442", "30"
"10442", "60"
"10442", "80"
"10443", "12"
"10443", "6"
"10444", "10"
"10444", "15"
"10444", "30"
"10444", "8"
"10445", "15"
"10445", "6"
