"Product name", "unit_price_text"
"Alice Mutton", "39"
"Aniseed Syrup", "10"
"Boston Crab Meat", "18.4"
"Camembert Pierrot", "34"
"Carnarvon Tigers", "62.5"
"Chai", "18"
"Chang", "19"
"Chartreuse verte", "18"
"Chef Anton's Cajun Seasoning", "22"
"Chef Anton's Gumbo Mix", "21.35"
"Chocolade", "12.75"
"Côte de Blaye", "263.5"
"Escargots de Bourgogne", "13.25"
"Filo Mix", "7"
"Flotemysost", "21.5"
"Geitost", "2.5"
"Genen Shouyu", "13"
"Gnocchi di nonna Alice", "38"
"Gorgonzola Telino", "12.5"
"Grandma's Boysenberry Spread", "25"
"Gravad lax", "26"
"Guaraná Fantástica", "4.5"
"Gudbrandsdalsost", "36"
"Gula Malacca", "19.45"
"Gumbär Gummibärchen", "31.23"
"Gustaf's Knäckebröd", "21"
"Ikura", "31"
"Inlagd Sill", "19"
"Ipoh Coffee", "46"
"Jack's New England Clam Chowder", "9.65"
"Konbu", "6"
"Lakkalikööri", "18"
"Laughing Lumberjack Lager", "14"
"Longlife Tofu", "10"
"Louisiana Fiery Hot Pepper Sauce", "21.05"
"Louisiana Hot Spiced Okra", "17"
"Manjimup Dried Apples", "53"
"Mascarpone Fabioli", "32"
"Maxilaku", "20"
"Mishi Kobe Niku", "97"
"Mozzarella di Giovanni", "34.8"
"Nord-Ost Matjeshering", "25.89"
"Northwoods Cranberry Sauce", "40"
"NuNuCa Nuß-Nougat-Creme", "14"
"Original Frankfurter grüne Soße", "13"
"Outback Lager", "15"
"Pavlova", "17.45"
"Perth Pasties", "32.8"
"Pâté chinois", "24"
"Queso Cabrales", "21"
"Queso Manchego La Pastora", "38"
"Raclette Courdavault", "55"
"Ravioli Angelo", "19.5"
"Rhönbräu Klosterbier", "7.75"
"Rogede sild", "9.5"
"Röd Kaviar", "15"
"Rössle Sauerkraut", "45.6"
"Sasquatch Ale", "14"
"Schoggi Schokolade", "43.9"
"Scottish Longbreads", "12.5"
"Singaporean Hokkien Fried Mee", "14"
"Sir Rodney's Marmalade", "81"
"Sir Rodney's Scones", "10"
"Sirop d'érable", "28.5"
"Spegesild", "12"
"Steeleye Stout", "18"
"Tarte au sucre", "49.3"
"Teatime Chocolate Biscuits", "9.2"
"Thüringer Rostbratwurst", "123.79"
"Tofu", "23.25"
"Tourtière", "7.45"
"Tunnbröd", "9"
"Uncle Bob's Organic Dried Pears", "30"
"Valkoinen suklaa", "16.25"
"Vegie-spread", "43.9"
"Wimmers gute Semmelknödel", "33.25"
"Zaanse koeken", "9.5"
