"Id", "order_time"
"10248", "12:38:17"
"10249", "12:34:15"
"10250", "13:41:43"
"10251", "17:01:47"
"10252", "13:49:27"
"10253", "12:19:02"
"10254", "14:43:32"
"10255", "13:19:38"
"10256", "14:38:41"
"10257", "13:16:44"
"10258", "11:18:37"
"10259", "12:30:17"
"10260", "13:06:51"
"10261", "12:44:10"
"10262", "12:16:09"
"10263", "10:50:13"
"10264", "15:11:05"
"10265", "12:23:24"
"10266", "16:58:38"
"10267", "15:46:16"
"10268", "14:25:34"
"10269", "09:12:07"
"10270", "15:24:35"
"10271", "12:35:18"
"10272", "14:39:55"
"10273", "09:57:23"
"10274", "09:32:02"
"10275", "11:10:42"
"10276", "13:17:05"
"10277", "15:02:54"
"10278", "13:07:17"
"10279", "14:08:29"
"10280", "11:25:23"
"10281", "11:12:22"
"10282", "13:29:59"
"10283", "14:54:43"
"10284", "10:57:10"
"10285", "10:15:34"
"10286", "12:48:24"
"10287", "11:31:17"
"10288", "16:33:35"
"10289", "12:45:14"
"10290", "11:04:49"
"10291", "08:35:03"
"10292", "13:05:20"
"10293", "13:37:25"
"10294", "12:48:36"
"10295", "14:42:56"
"10296", "12:39:31"
"10297", "11:18:25"
"10298", "15:41:09"
"10299", "10:37:16"
"10300", "15:38:34"
"10301", "16:10:16"
"10302", "12:57:37"
"10303", "10:21:25"
"10304", "07:25:08"
"10305", "19:33:32"
"10306", "08:48:55"
"10307", "13:10:07"
"10308", "13:50:43"
"10309", "14:12:27"
"10310", "10:58:38"
"10311", "11:35:29"
"10312", "07:00:55"
"10313", "11:47:00"
"10314", "12:28:56"
"10315", "11:52:34"
"10316", "13:01:21"
"10317", "08:43:07"
"10318", "12:36:00"
"10319", "14:24:46"
"10320", "14:23:32"
"10321", "11:37:48"
"10322", "15:23:55"
"10323", "17:58:40"
"10324", "11:55:38"
"10325", "16:24:12"
"10326", "15:25:34"
"10327", "16:28:49"
"10328", "17:56:38"
"10329", "10:22:20"
"10330", "11:47:23"
"10331", "13:05:56"
"10332", "17:30:15"
"10333", "12:34:03"
"10334", "13:11:05"
"10335", "16:13:05"
"10336", "12:28:48"
"10337", "08:25:34"
"10338", "13:07:30"
"10339", "11:41:35"
"10340", "14:33:38"
"10341", "15:38:27"
"10342", "18:36:48"
"10343", "11:43:46"
"10344", "11:32:25"
"10345", "09:19:42"
"10346", "11:25:33"
"10347", "10:49:28"
"10348", "14:17:21"
"10349", "14:13:01"
"10350", "11:27:14"
"10351", "12:02:00"
"10352", "16:11:14"
"10353", "14:31:04"
"10354", "17:06:04"
"10355", "10:13:32"
"10356", "13:16:13"
"10357", "16:42:34"
"10358", "16:56:36"
"10359", "17:19:36"
"10360", "08:41:51"
"10361", "13:44:26"
"10362", "13:24:27"
"10363", "14:03:22"
"10364", "10:30:46"
"10365", "14:17:03"
"10366", "09:39:06"
"10367", "07:00:03"
"10368", "11:08:55"
"10369", "14:18:06"
"10370", "13:00:28"
"10371", "14:37:08"
"10372", "11:13:15"
"10373", "13:57:55"
"10374", "15:23:55"
"10375", "11:44:54"
"10376", "12:14:34"
"10377", "12:44:53"
"10378", "14:06:48"
"10379", "13:06:54"
"10380", "13:13:30"
"10381", "15:32:13"
"10382", "16:33:10"
"10383", "08:56:24"
"10384", "15:29:59"
"10385", "13:02:50"
"10386", "13:26:44"
"10387", "11:00:46"
"10388", "16:11:45"
"10389", "12:54:31"
"10390", "14:10:03"
"10391", "14:44:37"
"10392", "12:55:20"
"10393", "12:07:03"
"10394", "15:42:58"
"10395", "13:52:54"
"10396", "12:09:32"
"10397", "12:50:05"
"10398", "13:33:04"
"10399", "12:14:43"
"10400", "14:38:56"
"10401", "11:03:36"
"10402", "13:04:39"
"10403", "16:21:05"
