"Id", "ordered_at"
"10248", "2022-07-04 00:00:00"
"10249", "2022-07-05 00:00:00"
"10250", "2022-07-08 00:00:00"
"10251", "2022-07-08 00:00:00"
"10252", "2022-07-09 00:00:00"
"10253", "2022-07-10 00:00:00"
"10254", "2022-07-11 00:00:00"
"10255", "2022-07-12 00:00:00"
"10256", "2022-07-15 00:00:00"
"10257", "2022-07-16 00:00:00"
"10258", "2022-07-17 00:00:00"
"10259", "2022-07-18 00:00:00"
"10260", "2022-07-19 00:00:00"
"10261", "2022-07-19 00:00:00"
"10262", "2022-07-22 00:00:00"
"10263", "2022-07-23 00:00:00"
"10264", "2022-07-24 00:00:00"
"10265", "2022-07-25 00:00:00"
"10266", "2022-07-26 00:00:00"
"10267", "2022-07-29 00:00:00"
"10268", "2022-07-30 00:00:00"
"10269", "2022-07-31 00:00:00"
"10270", "2022-08-01 00:00:00"
"10271", "2022-08-01 00:00:00"
"10272", "2022-08-02 00:00:00"
"10273", "2022-08-05 00:00:00"
"10274", "2022-08-06 00:00:00"
"10275", "2022-08-07 00:00:00"
"10276", "2022-08-08 00:00:00"
"10277", "2022-08-09 00:00:00"
"10278", "2022-08-12 00:00:00"
"10279", "2022-08-13 00:00:00"
"10280", "2022-08-14 00:00:00"
"10281", "2022-08-14 00:00:00"
"10282", "2022-08-15 00:00:00"
"10283", "2022-08-16 00:00:00"
"10284", "2022-08-19 00:00:00"
"10285", "2022-08-20 00:00:00"
"10286", "2022-08-21 00:00:00"
"10287", "2022-08-22 00:00:00"
"10288", "2022-08-23 00:00:00"
"10289", "2022-08-26 00:00:00"
"10290", "2022-08-27 00:00:00"
"10291", "2022-08-27 00:00:00"
"10292", "2022-08-28 00:00:00"
"10293", "2022-08-29 00:00:00"
"10294", "2022-08-30 00:00:00"
"10295", "2022-09-02 00:00:00"
"10296", "2022-09-03 00:00:00"
"10297", "2022-09-04 00:00:00"
"10298", "2022-09-05 00:00:00"
"10299", "2022-09-06 00:00:00"
"10300", "2022-09-09 00:00:00"
"10301", "2022-09-09 00:00:00"
"10302", "2022-09-10 00:00:00"
"10303", "2022-09-11 00:00:00"
"10304", "2022-09-12 00:00:00"
"10305", "2022-09-13 00:00:00"
"10306", "2022-09-16 00:00:00"
"10307", "2022-09-17 00:00:00"
"10308", "2022-09-18 00:00:00"
"10309", "2022-09-19 00:00:00"
"10310", "2022-09-20 00:00:00"
"10311", "2022-09-20 00:00:00"
"10312", "2022-09-23 00:00:00"
"10313", "2022-09-24 00:00:00"
"10314", "2022-09-25 00:00:00"
"10315", "2022-09-26 00:00:00"
"10316", "2022-09-27 00:00:00"
"10317", "2022-09-30 00:00:00"
"10318", "2022-10-01 00:00:00"
"10319", "2022-10-02 00:00:00"
"10320", "2022-10-03 00:00:00"
"10321", "2022-10-03 00:00:00"
"10322", "2022-10-04 00:00:00"
"10323", "2022-10-07 00:00:00"
"10324", "2022-10-08 00:00:00"
"10325", "2022-10-09 00:00:00"
"10326", "2022-10-10 00:00:00"
"10327", "2022-10-11 00:00:00"
"10328", "2022-10-14 00:00:00"
"10329", "2022-10-15 00:00:00"
"10330", "2022-10-16 00:00:00"
"10331", "2022-10-16 00:00:00"
"10332", "2022-10-17 00:00:00"
"10333", "2022-10-18 00:00:00"
"10334", "2022-10-21 00:00:00"
"10335", "2022-10-22 00:00:00"
"10336", "2022-10-23 00:00:00"
"10337", "2022-10-24 00:00:00"
"10338", "2022-10-25 00:00:00"
"10339", "2022-10-28 00:00:00"
"10340", "2022-10-29 00:00:00"
"10341", "2022-10-29 00:00:00"
"10342", "2022-10-30 00:00:00"
"10343", "2022-10-31 00:00:00"
"10344", "2022-11-01 00:00:00"
"10345", "2022-11-04 00:00:00"
"10346", "2022-11-05 00:00:00"
"10347", "2022-11-06 00:00:00"
"10348", "2022-11-07 00:00:00"
"10349", "2022-11-08 00:00:00"
"10350", "2022-11-11 00:00:00"
"10351", "2022-11-11 00:00:00"
"10352", "2022-11-12 00:00:00"
"10353", "2022-11-13 00:00:00"
"10354", "2022-11-14 00:00:00"
"10355", "2022-11-15 00:00:00"
"10356", "2022-11-18 00:00:00"
"10357", "2022-11-19 00:00:00"
"10358", "2022-11-20 00:00:00"
"10359", "2022-11-21 00:00:00"
"10360", "2022-11-22 00:00:00"
"10361", "2022-11-22 00:00:00"
"10362", "2022-11-25 00:00:00"
"10363", "2022-11-26 00:00:00"
"10364", "2022-11-26 00:00:00"
"10365", "2022-11-27 00:00:00"
"10366", "2022-11-28 00:00:00"
"10367", "2022-11-28 00:00:00"
"10368", "2022-11-29 00:00:00"
"10369", "2022-12-02 00:00:00"
"10370", "2022-12-03 00:00:00"
"10371", "2022-12-03 00:00:00"
"10372", "2022-12-04 00:00:00"
"10373", "2022-12-05 00:00:00"
"10374", "2022-12-05 00:00:00"
"10375", "2022-12-06 00:00:00"
"10376", "2022-12-09 00:00:00"
"10377", "2022-12-09 00:00:00"
"10378", "2022-12-10 00:00:00"
"10379", "2022-12-11 00:00:00"
"10380", "2022-12-12 00:00:00"
"10381", "2022-12-12 00:00:00"
"10382", "2022-12-13 00:00:00"
"10383", "2022-12-16 00:00:00"
"10384", "2022-12-16 00:00:00"
"10385", "2022-12-17 00:00:00"
"10386", "2022-12-18 00:00:00"
"10387", "2022-12-18 00:00:00"
"10388", "2022-12-19 00:00:00"
"10389", "2022-12-20 00:00:00"
"10390", "2022-12-23 00:00:00"
"10391", "2022-12-23 00:00:00"
"10392", "2022-12-24 00:00:00"
"10393", "2022-12-25 00:00:00"
"10394", "2022-12-25 00:00:00"
"10395", "2022-12-26 00:00:00"
"10396", "2022-12-27 00:00:00"
"10397", "2022-12-27 00:00:00"
"10398", "2022-12-30 00:00:00"
"10399", "2022-12-31 00:00:00"
"10400", "2023-01-01 00:00:00"
"10401", "2023-01-01 00:00:00"
"10402", "2023-01-02 00:00:00"
"10403", "2023-01-03 00:00:00"
"10404", "2023-01-03 00:00:00"
"10405", "2023-01-06 00:00:00"
"10406", "2023-01-07 00:00:00"
"10407", "2023-01-07 00:00:00"
"10408", "2023-01-08 00:00:00"
"10409", "2023-01-09 00:00:00"
"10410", "2023-01-10 00:00:00"
"10411", "2023-01-10 00:00:00"
"10412", "2023-01-13 00:00:00"
"10413", "2023-01-14 00:00:00"
"10414", "2023-01-14 00:00:00"
"10415", "2023-01-15 00:00:00"
"10416", "2023-01-16 00:00:00"
"10417", "2023-01-16 00:00:00"
"10418", "2023-01-17 00:00:00"
"10419", "2023-01-20 00:00:00"
"10420", "2023-01-21 00:00:00"
"10421", "2023-01-21 00:00:00"
"10422", "2023-01-22 00:00:00"
"10423", "2023-01-23 00:00:00"
"10424", "2023-01-23 00:00:00"
"10425", "2023-01-24 00:00:00"
"10426", "2023-01-27 00:00:00"
"10427", "2023-01-27 00:00:00"
"10428", "2023-01-28 00:00:00"
"10429", "2023-01-29 00:00:00"
"10430", "2023-01-30 00:00:00"
"10431", "2023-01-30 00:00:00"
"10432", "2023-01-31 00:00:00"
"10433", "2023-02-03 00:00:00"
"10434", "2023-02-03 00:00:00"
"10435", "2023-02-04 00:00:00"
"10436", "2023-02-05 00:00:00"
"10437", "2023-02-05 00:00:00"
"10438", "2023-02-06 00:00:00"
"10439", "2023-02-07 00:00:00"
"10440", "2023-02-10 00:00:00"
"10441", "2023-02-10 00:00:00"
"10442", "2023-02-11 00:00:00"
"10443", "2023-02-12 00:00:00"
"10444", "2023-02-12 00:00:00"
"10445", "2023-02-13 00:00:00"
"10446", "2023-02-14 00:00:00"
"10447", "2023-02-14 00:00:00"
"10448", "2023-02-17 00:00:00"
"10449", "2023-02-18 00:00:00"
"10450", "2023-02-19 00:00:00"
"10451", "2023-02-19 00:00:00"
"10452", "2023-02-20 00:00:00"
"10453", "2023-02-21 00:00:00"
"10454", "2023-02-21 00:00:00"
"10455", "2023-02-24 00:00:00"
"10456", "2023-02-25 00:00:00"
"10457", "2023-02-25 00:00:00"
"10458", "2023-02-26 00:00:00"
"10459", "2023-02-27 00:00:00"
"10460", "2023-02-28 00:00:00"
"10461", "2023-02-28 00:00:00"
"10462", "2023-03-03 00:00:00"
"10463", "2023-03-04 00:00:00"
"10464", "2023-03-04 00:00:00"
"10465", "2023-03-05 00:00:00"
"10466", "2023-03-06 00:00:00"
"10467", "2023-03-06 00:00:00"
"10468", "2023-03-07 00:00:00"
"10469", "2023-03-10 00:00:00"
"10470", "2023-03-11 00:00:00"
"10471", "2023-03-11 00:00:00"
"10472", "2023-03-12 00:00:00"
"10473", "2023-03-13 00:00:00"
"10474", "2023-03-13 00:00:00"
"10475", "2023-03-14 00:00:00"
