"Name", "postal_short"
"Alfreds Futterkiste", "12209"
"Ana Trujillo Emparedados y helados", "05021"
"Antonio Moreno Taquería", "05023"
"Around the Horn", "WA1 1DP"
"B's Beverages", "EC2 5NT"
"Berglunds snabbköp", "S-958 22"
"Blauer See Delikatessen", "68306"
"Blondesddsl père et fils", "67000"
"Bon app'", "13008"
"Bottom-Dollar Markets", "T2F 8M4"
"Bólido Comidas preparadas", "28023"
"Cactus Comidas para llevar", "1010"
"Centro comercial Moctezuma", "05022"
"Chop-suey Chinese", "3012"
"Comércio Mineiro", "05432-043"
"Consolidated Holdings", "WX1 6LT"
"Die Wandernde Kuh", "70563"
"Drachenblut Delikatessen", "52066"
"Du monde entier", "44000"
"Eastern Connection", "WX3 6FW"
"Ernst Handel", "8010"
"FISSA Fabrica Inter. Salchichas S.A.", "28034"
"Familia Arquibaldo", "05442-030"
"Folies gourmandes", "59000"
"Folk och fä HB", "S-844 67"
"France restauration", "44000"
"Franchi S.p.A.", "10100"
"Frankenversand", "80805"
"Furia Bacalhau e Frutos do Mar", "1675"
"GROSELLA-Restaurante", "1081"
"Galería del gastrónomo", "08022"
"Godos Cocina Típica", "41101"
"Gourmet Lanchonetes", "04876-786"
"Great Lakes Food Market", "97403"
"HILARION-Abastos", "5022"
"Hanari Carnes", "05454-876"
"Hungry Coyote Import Store", "97827"
"Hungry Owl All-Night Grocers", ""
"Island Trading", "PO31 7PJ"
"Königlich Essen", "14776"
"LILA-Supermercado", "3508"
"LINO-Delicateses", "4980"
"La corne d'abondance", "78000"
"La maison d'Asie", "31000"
"Laughing Bacchus Wine Cellars", "V3F 2K1"
"Lazy K Kountry Store", "99362"
"Lehmanns Marktstand", "60528"
"Let's Stop N Shop", "94117"
"Lonesome Pine Restaurant", "97219"
"Magazzini Alimentari Riuniti", "24100"
"Maison Dewey", "B-1180"
"Morgenstern Gesundkost", "04179"
"Mère Paillarde", "H1J 1C3"
"North/South", "SW7 1RZ"
"Océano Atlántico Ltda.", "1010"
"Old World Delicatessen", "99508"
"Ottilies Käseladen", "50739"
"Paris spécialités", "75012"
"Pericles Comidas clásicas", "05033"
"Piccolo und mehr", "5020"
"Princesa Isabel Vinhos", "1756"
"QUICK-Stop", "01307"
"Que Delícia", "02389-673"
"Queen Cozinha", "05487-020"
"Rancho grande", "1010"
"Rattlesnake Canyon Grocery", "87110"
"Reggiani Caseifici", "42100"
"Ricardo Adocicados", "02389-890"
"Richter Supermarkt", "1203"
"Romero y tomillo", "28001"
"Santé Gourmet", "4110"
"Save-a-lot Markets", "83720"
"Seven Seas Imports", "OX15 4NB"
"Simons bistro", "1734"
"Split Rail Beer & Ale", "82520"
"Spécialités du monde", "75016"
"Suprêmes délices", "B-6000"
"The Big Cheese", "97201"
"The Cracker Box", "59801"
"Toms Spezialitäten", "44087"
"Tortuga Restaurante", "05033"
"Tradição Hipermercados", "05634-030"
"Trail's Head Gourmet Provisioners", "98034"
"Vaffeljernet", "8200"
"Victuailles en stock", "69004"
"Vins et alcools Chevalier", "51100"
"Wartian Herkku", "90110"
"Wellington Importadora", "08737-363"
"White Clover Markets", "98128"
"Wilman Kala", "21240"
"Wolski  Zajazd", "01-012"
