"Id", "Product name", "stock_status"
"1", "Chai", "ok"
"10", "Ikura", "ok"
"11", "Queso Cabrales", "reorder"
"12", "Queso Manchego La Pastora", "ok"
"13", "Konbu", "ok"
"14", "Tofu", "ok"
"15", "Genen Shouyu", "ok"
"16", "Pavlova", "ok"
"17", "Alice Mutton", "ok"
"18", "Carnarvon Tigers", "ok"
"19", "Teatime Chocolate Biscuits", "ok"
"2", "Chang", "reorder"
"20", "Sir Rodney's Marmalade", "ok"
"21", "Sir Rodney's Scones", "reorder"
"22", "Gustaf's Knäckebröd", "ok"
"23", "Tunnbröd", "ok"
"24", "Guaraná Fantástica", "ok"
"25", "NuNuCa Nuß-Nougat-Creme", "ok"
"26", "Gumbär Gummibärchen", "ok"
"27", "Schoggi Schokolade", "ok"
"28", "Rössle Sauerkraut", "ok"
"29", "Thüringer Rostbratwurst", "ok"
"3", "Aniseed Syrup", "reorder"
"30", "Nord-Ost Matjeshering", "reorder"
"31", "Gorgonzola Telino", "reorder"
"32", "Mascarpone Fabioli", "reorder"
"33", "Geitost", "ok"
"34", "Sasquatch Ale", "ok"
"35", "Steeleye Stout", "ok"
"36", "Inlagd Sill", "ok"
"37", "Gravad lax", "reorder"
"38", "Côte de Blaye", "ok"
"39", "Chartreuse verte", "ok"
"4", "Chef Anton's Cajun Seasoning", "ok"
"40", "Boston Crab Meat", "ok"
"41", "Jack's New England Clam Chowder", "ok"
"42", "Singaporean Hokkien Fried Mee", "ok"
"43", "Ipoh Coffee", "reorder"
"44", "Gula Malacca", "ok"
"45", "Rogede sild", "reorder"
"46", "Spegesild", "ok"
"47", "Zaanse koeken", "ok"
"48", "Chocolade", "reorder"
"49", "Maxilaku", "reorder"
"5", "Chef Anton's Gumbo Mix", "ok"
"50", "Valkoinen suklaa", "ok"
"51", "Manjimup Dried Apples", "ok"
"52", "Filo Mix", "ok"
"53", "Perth Pasties", "ok"
"54", "Tourtière", "ok"
"55", "Pâté chinois", "ok"
"56", "Gnocchi di nonna Alice", "reorder"
"57", "Ravioli Angelo", "ok"
"58", "Escargots de Bourgogne", "ok"
"59", "Raclette Courdavault", "ok"
"6", "Grandma's Boysenberry Spread", "ok"
"60", "Camembert Pierrot", "ok"
"61", "Sirop d'érable", "ok"
"62", "Tarte au sucre", "ok"
"63", "Vegie-spread", "ok"
"64", "Wimmers gute Semmelknödel", "reorder"
"65", "Louisiana Fiery Hot Pepper Sauce", "ok"
"66", "Louisiana Hot Spiced Okra", "reorder"
"67", "Laughing Lumberjack Lager", "ok"
"68", "Scottish Longbreads", "reorder"
"69", "Gudbrandsdalsost", "ok"
"7", "Uncle Bob's Organic Dried Pears", "ok"
"70", "Outback Lager", "reorder"
"71", "Flotemysost", "ok"
"72", "Mozzarella di Giovanni", "ok"
"73", "Röd Kaviar", "ok"
"74", "Longlife Tofu", "reorder"
"75", "Rhönbräu Klosterbier", "ok"
"76", "Lakkalikööri", "ok"
"77", "Original Frankfurter grüne Soße", "ok"
"8", "Northwoods Cranberry Sauce", "ok"
"9", "Mishi Kobe Niku", "ok"
