"Id", "reorder_level_or_blank"
"1", "10"
"10", ""
"11", "30"
"12", ""
"13", "5"
"14", ""
"15", "5"
"16", "10"
"17", ""
"18", ""
"19", "5"
"2", "25"
"20", ""
"21", "5"
"22", "25"
"23", "25"
"24", ""
"25", "30"
"26", ""
"27", "30"
"28", ""
"29", ""
"3", "25"
"30", "15"
"31", "20"
"32", "25"
"33", "20"
"34", "15"
"35", "15"
"36", "20"
"37", "25"
"38", "15"
"39", "5"
"4", ""
"40", "30"
"41", "10"
"42", ""
"43", "25"
"44", "15"
"45", "15"
"46", ""
"47", ""
"48", "25"
"49", "15"
"5", ""
"50", "30"
"51", "10"
"52", "25"
"53", ""
"54", "10"
"55", "20"
"56", "30"
"57", "20"
"58", "20"
"59", ""
"6", "25"
"60", ""
"61", "25"
"62", ""
"63", "5"
"64", "30"
"65", ""
"66", "20"
"67", "10"
"68", "15"
"69", "15"
"7", "10"
"70", "30"
"71", ""
"72", ""
"73", "5"
"74", "5"
"75", "25"
"76", "20"
"77", "15"
"8", ""
"9", ""
