"Id", "Ship City"
"10289", "London"
"10359", "London"
"10364", "London"
"10377", "London"
"10388", "London"
"10400", "London"
"10435", "London"
"10462", "London"
"10471", "London"
"10472", "London"
"10484", "London"
"10517", "London"
"10523", "London"
"10532", "London"
"10538", "London"
"10539", "London"
"10547", "London"
"10578", "London"
"10599", "London"
"10726", "London"
"10738", "Paris"
"10752", "London"
"10800", "London"
"10804", "London"
"10848", "London"
"10869", "London"
"10907", "Paris"
"10943", "London"
"10947", "London"
"10964", "Paris"
"10987", "London"
"11023", "London"
"11024", "London"
"11043", "Paris"
"11047", "London"
"11056", "London"
"11057", "London"
