"Id", "Product", "whole_price", "one_decimal"
"10248", "11", "14", "19.9"
"10248", "42", "9", "19.9"
"10248", "72", "34", "19.9"
"10249", "14", "18", "19.9"
"10249", "51", "42", "19.9"
"10250", "41", "7", "19.9"
"10250", "51", "42", "19.9"
"10250", "65", "16", "19.9"
"10251", "22", "16", "19.9"
"10251", "57", "15", "19.9"
"10251", "65", "16", "19.9"
"10252", "20", "64", "19.9"
"10252", "33", "2", "19.9"
"10252", "60", "27", "19.9"
"10253", "31", "10", "19.9"
"10253", "39", "14", "19.9"
"10253", "49", "16", "19.9"
"10254", "24", "3", "19.9"
"10254", "55", "19", "19.9"
"10254", "74", "8", "19.9"
