"location"
"Aachen, Germany"
"Albuquerque, USA"
"Anchorage, USA"
"Barcelona, Spain"
"Barquisimeto, Venezuela"
"Bergamo, Italy"
"Berlin, Germany"
"Bern, Switzerland"
"Boise, USA"
"Brandenburg, Germany"
"Bruxelles, Belgium"
"Bräcke, Sweden"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Buenos Aires, Argentina"
"Butte, USA"
"Campinas, Brazil"
"Caracas, Venezuela"
"Charleroi, Belgium"
"Cork, Ireland"
"Cowes, UK"
"Cunewalde, Germany"
"Elgin, USA"
"Eugene, USA"
"Frankfurt a.M., Germany"
"Genève, Switzerland"
"Graz, Austria"
"Helsinki, Finland"
"I. de Margarita, Venezuela"
"Kirkland, USA"
"Kobenhavn, Denmark"
"Köln, Germany"
"Lander, USA"
"Leipzig, Germany"
"Lille, France"
"Lisboa, Portugal"
"Lisboa, Portugal"
"London, UK"
"London, UK"
"London, UK"
"London, UK"
"London, UK"
"London, UK"
"Luleå, Sweden"
"Lyon, France"
"Madrid, Spain"
"Madrid, Spain"
"Madrid, Spain"
"Mannheim, Germany"
"Marseille, France"
"Montréal, Canada"
"México D.F., Mexico"
"México D.F., Mexico"
"México D.F., Mexico"
"México D.F., Mexico"
"México D.F., Mexico"
"München, Germany"
"Münster, Germany"
"Nantes, France"
"Nantes, France"
"Oulu, Finland"
"Paris, France"
"Paris, France"
"Portland, USA"
"Portland, USA"
"Reggio Emilia, Italy"
"Reims, France"
"Resende, Brazil"
"Rio de Janeiro, Brazil"
"Rio de Janeiro, Brazil"
"Rio de Janeiro, Brazil"
"Salzburg, Austria"
"San Cristóbal, Venezuela"
"San Francisco, USA"
"Sao Paulo, Brazil"
"Sao Paulo, Brazil"
"Sao Paulo, Brazil"
"Sao Paulo, Brazil"
"Seattle, USA"
"Sevilla, Spain"
"Stavern, Norway"
"Strasbourg, France"
"Stuttgart, Germany"
"Torino, Italy"
"Toulouse, France"
"Tsawassen, Canada"
"Vancouver, Canada"
"Versailles, France"
"Walla Walla, USA"
"Warszawa, Poland"
"Århus, Denmark"
