"Id", "Id", "Freight", "previous_freight"
"BLONP", "10265", "55.28", ""
"BLONP", "10297", "5.74", "55.28"
"BLONP", "10360", "131.7", "5.74"
"BLONP", "10436", "156.66", "131.7"
"BLONP", "10449", "53.3", "156.66"
"BLONP", "10559", "8.05", "53.3"
"BLONP", "10566", "88.4", "8.05"
"BLONP", "10584", "59.14", "88.4"
"BLONP", "10628", "30.36", "59.14"
"BLONP", "10679", "27.94", "30.36"
"BLONP", "10826", "7.09", "27.94"
"BONAP", "10331", "10.19", ""
"BONAP", "10340", "166.31", "10.19"
"BONAP", "10362", "96.04", "166.31"
"BONAP", "10470", "64.56", "96.04"
"BONAP", "10511", "350.64", "64.56"
"BONAP", "10525", "11.06", "350.64"
"BONAP", "10663", "113.15", "11.06"
"BONAP", "10715", "63.2", "113.15"
"BONAP", "10730", "20.12", "63.2"
"BONAP", "10732", "16.97", "20.12"
"BONAP", "10755", "16.71", "16.97"
"BONAP", "10827", "63.54", "16.71"
"BONAP", "10871", "112.27", "63.54"
"BONAP", "10876", "60.42", "112.27"
"BONAP", "10932", "134.64", "60.42"
"BONAP", "10940", "19.77", "134.64"
"BONAP", "11076", "38.28", "19.77"
"DUMON", "10311", "24.69", ""
"DUMON", "10609", "1.85", "24.69"
"DUMON", "10683", "4.4", "1.85"
"DUMON", "10890", "32.76", "4.4"
"FOLIG", "10408", "11.26", ""
"FOLIG", "10480", "1.35", "11.26"
"FOLIG", "10634", "487.38", "1.35"
"FOLIG", "10763", "37.35", "487.38"
"FOLIG", "10789", "100.6", "37.35"
"FRANR", "10671", "30.34", ""
"FRANR", "10860", "19.26", "30.34"
"FRANR", "10971", "121.82", "19.26"
"LACOR", "10858", "52.51", ""
"LACOR", "10927", "19.79", "52.51"
"LACOR", "10972", "0.02", "19.79"
"LACOR", "10973", "15.17", "0.02"
"LAMAI", "10350", "64.19", ""
"LAMAI", "10358", "19.64", "64.19"
"LAMAI", "10371", "0.45", "19.64"
"LAMAI", "10413", "95.66", "0.45"
"LAMAI", "10425", "7.93", "95.66"
"LAMAI", "10454", "2.74", "7.93"
"LAMAI", "10493", "10.64", "2.74"
"LAMAI", "10500", "42.68", "10.64"
"LAMAI", "10610", "26.78", "42.68"
"LAMAI", "10631", "0.87", "26.78"
"LAMAI", "10787", "249.93", "0.87"
"LAMAI", "10832", "43.26", "249.93"
"LAMAI", "10923", "68.26", "43.26"
"LAMAI", "11051", "2.79", "68.26"
"SPECD", "10738", "2.91", ""
"SPECD", "10907", "9.19", "2.91"
"SPECD", "10964", "87.38", "9.19"
"SPECD", "11043", "8.8", "87.38"
"VICTE", "10251", "41.34", ""
"VICTE", "10334", "8.56", "41.34"
"VICTE", "10450", "7.23", "8.56"
"VICTE", "10459", "25.09", "7.23"
"VICTE", "10478", "4.81", "25.09"
"VICTE", "10546", "194.72", "4.81"
"VICTE", "10806", "22.11", "194.72"
"VICTE", "10814", "130.94", "22.11"
"VICTE", "10843", "9.26", "130.94"
"VICTE", "10850", "49.19", "9.26"
"VINET", "10248", "32.38", ""
"VINET", "10274", "6.01", "32.38"
"VINET", "10295", "1.15", "6.01"
"VINET", "10737", "7.79", "1.15"
"VINET", "10739", "11.08", "7.79"
