"Id", "Id", "Freight", "next_freight"
"BLONP", "10265", "55.28", "5.74"
"BLONP", "10297", "5.74", "131.7"
"BLONP", "10360", "131.7", "156.66"
"BLONP", "10436", "156.66", "53.3"
"BLONP", "10449", "53.3", "8.05"
"BLONP", "10559", "8.05", "88.4"
"BLONP", "10566", "88.4", "59.14"
"BLONP", "10584", "59.14", "30.36"
"BLONP", "10628", "30.36", "27.94"
"BLONP", "10679", "27.94", "7.09"
"BLONP", "10826", "7.09", ""
"BONAP", "10331", "10.19", "166.31"
"BONAP", "10340", "166.31", "96.04"
"BONAP", "10362", "96.04", "64.56"
"BONAP", "10470", "64.56", "350.64"
"BONAP", "10511", "350.64", "11.06"
"BONAP", "10525", "11.06", "113.15"
"BONAP", "10663", "113.15", "63.2"
"BONAP", "10715", "63.2", "20.12"
"BONAP", "10730", "20.12", "16.97"
"BONAP", "10732", "16.97", "16.71"
"BONAP", "10755", "16.71", "63.54"
"BONAP", "10827", "63.54", "112.27"
"BONAP", "10871", "112.27", "60.42"
"BONAP", "10876", "60.42", "134.64"
"BONAP", "10932", "134.64", "19.77"
"BONAP", "10940", "19.77", "38.28"
"BONAP", "11076", "38.28", ""
"DUMON", "10311", "24.69", "1.85"
"DUMON", "10609", "1.85", "4.4"
"DUMON", "10683", "4.4", "32.76"
"DUMON", "10890", "32.76", ""
"FOLIG", "10408", "11.26", "1.35"
"FOLIG", "10480", "1.35", "487.38"
"FOLIG", "10634", "487.38", "37.35"
"FOLIG", "10763", "37.35", "100.6"
"FOLIG", "10789", "100.6", ""
"FRANR", "10671", "30.34", "19.26"
"FRANR", "10860", "19.26", "121.82"
"FRANR", "10971", "121.82", ""
"LACOR", "10858", "52.51", "19.79"
"LACOR", "10927", "19.79", "0.02"
"LACOR", "10972", "0.02", "15.17"
"LACOR", "10973", "15.17", ""
"LAMAI", "10350", "64.19", "19.64"
"LAMAI", "10358", "19.64", "0.45"
"LAMAI", "10371", "0.45", "95.66"
"LAMAI", "10413", "95.66", "7.93"
"LAMAI", "10425", "7.93", "2.74"
"LAMAI", "10454", "2.74", "10.64"
"LAMAI", "10493", "10.64", "42.68"
"LAMAI", "10500", "42.68", "26.78"
"LAMAI", "10610", "26.78", "0.87"
"LAMAI", "10631", "0.87", "249.93"
"LAMAI", "10787", "249.93", "43.26"
"LAMAI", "10832", "43.26", "68.26"
"LAMAI", "10923", "68.26", "2.79"
"LAMAI", "11051", "2.79", ""
"SPECD", "10738", "2.91", "9.19"
"SPECD", "10907", "9.19", "87.38"
"SPECD", "10964", "87.38", "8.8"
"SPECD", "11043", "8.8", ""
"VICTE", "10251", "41.34", "8.56"
"VICTE", "10334", "8.56", "7.23"
"VICTE", "10450", "7.23", "25.09"
"VICTE", "10459", "25.09", "4.81"
"VICTE", "10478", "4.81", "194.72"
"VICTE", "10546", "194.72", "22.11"
"VICTE", "10806", "22.11", "130.94"
"VICTE", "10814", "130.94", "9.26"
"VICTE", "10843", "9.26", "49.19"
"VICTE", "10850", "49.19", ""
"VINET", "10248", "32.38", "6.01"
"VINET", "10274", "6.01", "1.15"
"VINET", "10295", "1.15", "7.79"
"VINET", "10737", "7.79", "11.08"
"VINET", "10739", "11.08", ""
