"Id", "Freight", "quartile"
"10248", "32.38", "3"
"10251", "41.34", "3"
"10265", "55.28", "3"
"10274", "6.01", "1"
"10295", "1.15", "1"
"10297", "5.74", "1"
"10311", "24.69", "2"
"10331", "10.19", "2"
"10334", "8.56", "1"
"10340", "166.31", "4"
"10350", "64.19", "3"
"10358", "19.64", "2"
"10360", "131.7", "4"
"10362", "96.04", "4"
"10371", "0.45", "1"
"10408", "11.26", "2"
"10413", "95.66", "4"
"10425", "7.93", "1"
"10436", "156.66", "4"
"10449", "53.3", "3"
"10450", "7.23", "1"
"10454", "2.74", "1"
"10459", "25.09", "2"
"10470", "64.56", "4"
"10478", "4.81", "1"
"10480", "1.35", "1"
"10493", "10.64", "2"
"10500", "42.68", "3"
"10511", "350.64", "4"
"10525", "11.06", "2"
"10546", "194.72", "4"
"10559", "8.05", "1"
"10566", "88.4", "4"
"10584", "59.14", "3"
"10609", "1.85", "1"
"10610", "26.78", "2"
"10628", "30.36", "3"
"10631", "0.87", "1"
"10634", "487.38", "4"
"10663", "113.15", "4"
"10671", "30.34", "3"
"10679", "27.94", "3"
"10683", "4.4", "1"
"10715", "63.2", "3"
"10730", "20.12", "2"
"10732", "16.97", "2"
"10737", "7.79", "1"
"10738", "2.91", "1"
"10739", "11.08", "2"
"10755", "16.71", "2"
"10763", "37.35", "3"
"10787", "249.93", "4"
"10789", "100.6", "4"
"10806", "22.11", "2"
"10814", "130.94", "4"
"10826", "7.09", "1"
"10827", "63.54", "3"
"10832", "43.26", "3"
"10843", "9.26", "2"
"10850", "49.19", "3"
"10858", "52.51", "3"
"10860", "19.26", "2"
"10871", "112.27", "4"
"10876", "60.42", "3"
"10890", "32.76", "3"
"10907", "9.19", "2"
"10923", "68.26", "4"
"10927", "19.79", "2"
"10932", "134.64", "4"
"10940", "19.77", "2"
"10964", "87.38", "4"
"10971", "121.82", "4"
"10972", "0.02", "1"
"10973", "15.17", "2"
"11043", "8.8", "1"
"11051", "2.79", "1"
"11076", "38.28", "3"
