"Id", "Freight", "freight_rank"
"10248", "32.38", "35"
"10251", "41.34", "31"
"10265", "55.28", "25"
"10274", "6.01", "65"
"10295", "1.15", "74"
"10297", "5.74", "66"
"10311", "24.69", "41"
"10331", "10.19", "55"
"10334", "8.56", "59"
"10340", "166.31", "5"
"10350", "64.19", "20"
"10358", "19.64", "46"
"10360", "131.7", "8"
"10362", "96.04", "14"
"10371", "0.45", "76"
"10408", "11.26", "51"
"10413", "95.66", "15"
"10425", "7.93", "61"
"10436", "156.66", "6"
"10449", "53.3", "26"
"10450", "7.23", "63"
"10454", "2.74", "71"
"10459", "25.09", "40"
"10470", "64.56", "19"
"10478", "4.81", "67"
"10480", "1.35", "73"
"10493", "10.64", "54"
"10500", "42.68", "30"
"10511", "350.64", "2"
"10525", "11.06", "53"
"10546", "194.72", "4"
"10559", "8.05", "60"
"10566", "88.4", "16"
"10584", "59.14", "24"
"10609", "1.85", "72"
"10610", "26.78", "39"
"10628", "30.36", "36"
"10631", "0.87", "75"
"10634", "487.38", "1"
"10663", "113.15", "11"
"10671", "30.34", "37"
"10679", "27.94", "38"
"10683", "4.4", "68"
"10715", "63.2", "22"
"10730", "20.12", "43"
"10732", "16.97", "48"
"10737", "7.79", "62"
"10738", "2.91", "69"
"10739", "11.08", "52"
"10755", "16.71", "49"
"10763", "37.35", "33"
"10787", "249.93", "3"
"10789", "100.6", "13"
"10806", "22.11", "42"
"10814", "130.94", "9"
"10826", "7.09", "64"
"10827", "63.54", "21"
"10832", "43.26", "29"
"10843", "9.26", "56"
"10850", "49.19", "28"
"10858", "52.51", "27"
"10860", "19.26", "47"
"10871", "112.27", "12"
"10876", "60.42", "23"
"10890", "32.76", "34"
"10907", "9.19", "57"
"10923", "68.26", "18"
"10927", "19.79", "44"
"10932", "134.64", "7"
"10940", "19.77", "45"
"10964", "87.38", "17"
"10971", "121.82", "10"
"10972", "0.02", "77"
"10973", "15.17", "50"
"11043", "8.8", "58"
"11051", "2.79", "70"
"11076", "38.28", "32"
