"Id", "Id", "nth"
"BLONP", "10265", "1"
"BLONP", "10297", "2"
"BLONP", "10360", "3"
"BLONP", "10436", "4"
"BLONP", "10449", "5"
"BLONP", "10559", "6"
"BLONP", "10566", "7"
"BLONP", "10584", "8"
"BLONP", "10628", "9"
"BLONP", "10679", "10"
"BLONP", "10826", "11"
"BONAP", "10331", "1"
"BONAP", "10340", "2"
"BONAP", "10362", "3"
"BONAP", "10470", "4"
"BONAP", "10511", "5"
"BONAP", "10525", "6"
"BONAP", "10663", "7"
"BONAP", "10715", "8"
"BONAP", "10730", "9"
"BONAP", "10732", "10"
"BONAP", "10755", "11"
"BONAP", "10827", "12"
"BONAP", "10871", "13"
"BONAP", "10876", "14"
"BONAP", "10932", "15"
"BONAP", "10940", "16"
"BONAP", "11076", "17"
"DUMON", "10311", "1"
"DUMON", "10609", "2"
"DUMON", "10683", "3"
"DUMON", "10890", "4"
"FOLIG", "10408", "1"
"FOLIG", "10480", "2"
"FOLIG", "10634", "3"
"FOLIG", "10763", "4"
"FOLIG", "10789", "5"
"FRANR", "10671", "1"
"FRANR", "10860", "2"
"FRANR", "10971", "3"
"LACOR", "10858", "1"
"LACOR", "10927", "2"
"LACOR", "10972", "3"
"LACOR", "10973", "4"
"LAMAI", "10350", "1"
"LAMAI", "10358", "2"
"LAMAI", "10371", "3"
"LAMAI", "10413", "4"
"LAMAI", "10425", "5"
"LAMAI", "10454", "6"
"LAMAI", "10493", "7"
"LAMAI", "10500", "8"
"LAMAI", "10610", "9"
"LAMAI", "10631", "10"
"LAMAI", "10787", "11"
"LAMAI", "10832", "12"
"LAMAI", "10923", "13"
"LAMAI", "11051", "14"
"SPECD", "10738", "1"
"SPECD", "10907", "2"
"SPECD", "10964", "3"
"SPECD", "11043", "4"
"VICTE", "10251", "1"
"VICTE", "10334", "2"
"VICTE", "10450", "3"
"VICTE", "10459", "4"
"VICTE", "10478", "5"
"VICTE", "10546", "6"
"VICTE", "10806", "7"
"VICTE", "10814", "8"
"VICTE", "10843", "9"
"VICTE", "10850", "10"
"VINET", "10248", "1"
"VINET", "10274", "2"
"VINET", "10295", "3"
"VINET", "10737", "4"
"VINET", "10739", "5"
