"Id", "Name"
"10248", "Vins et alcools Chevalier"
"10249", "Toms Spezialitäten"
"10250", "Hanari Carnes"
"10251", "Victuailles en stock"
"10252", "Suprêmes délices"
"10253", "Hanari Carnes"
"10254", "Chop-suey Chinese"
"10255", "Richter Supermarkt"
"10256", "Wellington Importadora"
"10257", "HILARION-Abastos"
"10258", "Ernst Handel"
"10260", "Ottilies Käseladen"
"10262", "Rattlesnake Canyon Grocery"
"10263", "Ernst Handel"
"10265", "Blondesddsl père et fils"
"10266", "Wartian Herkku"
"10267", "Frankenversand"
"10270", "Wartian Herkku"
"10272", "Rattlesnake Canyon Grocery"
"10273", "QUICK-Stop"
"10275", "Magazzini Alimentari Riuniti"
"10276", "Tortuga Restaurante"
"10277", "Morgenstern Gesundkost"
"10278", "Berglunds snabbköp"
"10279", "Lehmanns Marktstand"
"10282", "Romero y tomillo"
"10283", "LILA-Supermercado"
"10284", "Lehmanns Marktstand"
"10285", "QUICK-Stop"
"10286", "QUICK-Stop"
"10287", "Ricardo Adocicados"
"10289", "B's Beverages"
"10290", "Comércio Mineiro"
"10293", "Tortuga Restaurante"
"10294", "Rattlesnake Canyon Grocery"
"10298", "Hungry Owl All-Night Grocers"
"10299", "Ricardo Adocicados"
"10300", "Magazzini Alimentari Riuniti"
"10301", "Die Wandernde Kuh"
"10303", "Godos Cocina Típica"
"10304", "Tortuga Restaurante"
"10305", "Old World Delicatessen"
"10309", "Hungry Owl All-Night Grocers"
"10310", "The Big Cheese"
"10311", "Du monde entier"
"10312", "Die Wandernde Kuh"
"10314", "Rattlesnake Canyon Grocery"
"10315", "Island Trading"
"10316", "Rattlesnake Canyon Grocery"
"10317", "Lonesome Pine Restaurant"
"10319", "Tortuga Restaurante"
"10320", "Wartian Herkku"
"10324", "Save-a-lot Markets"
"10325", "Königlich Essen"
"10326", "Bólido Comidas preparadas"
"10327", "Folk och fä HB"
"10328", "Furia Bacalhau e Frutos do Mar"
"10329", "Split Rail Beer & Ale"
"10330", "LILA-Supermercado"
"10331", "Bon app'"
"10332", "Mère Paillarde"
"10335", "Hungry Owl All-Night Grocers"
"10336", "Princesa Isabel Vinhos"
"10337", "Frankenversand"
"10338", "Old World Delicatessen"
"10339", "Mère Paillarde"
"10340", "Bon app'"
"10341", "Simons bistro"
"10342", "Frankenversand"
"10343", "Lehmanns Marktstand"
"10344", "White Clover Markets"
"10345", "QUICK-Stop"
"10346", "Rattlesnake Canyon Grocery"
"10350", "La maison d'Asie"
"10351", "Ernst Handel"
"10353", "Piccolo und mehr"
"10354", "Pericles Comidas clásicas"
"10355", "Around the Horn"
"10356", "Die Wandernde Kuh"
"10357", "LILA-Supermercado"
"10358", "La maison d'Asie"
"10359", "Seven Seas Imports"
"10360", "Blondesddsl père et fils"
"10361", "QUICK-Stop"
"10362", "Bon app'"
"10363", "Drachenblut Delikatessen"
"10364", "Eastern Connection"
"10365", "Antonio Moreno Taquería"
"10366", "Galería del gastrónomo"
"10367", "Vaffeljernet"
"10368", "Ernst Handel"
"10369", "Split Rail Beer & Ale"
"10372", "Queen Cozinha"
"10373", "Hungry Owl All-Night Grocers"
"10375", "Hungry Coyote Import Store"
"10376", "Mère Paillarde"
"10377", "Seven Seas Imports"
"10379", "Que Delícia"
"10380", "Hungry Owl All-Night Grocers"
"10382", "Ernst Handel"
"10383", "Around the Horn"
"10384", "Berglunds snabbköp"
"10385", "Split Rail Beer & Ale"
"10386", "Familia Arquibaldo"
"10387", "Santé Gourmet"
"10388", "Seven Seas Imports"
