"company", "route"
"Alfreds Futterkiste", "GermanyGermany"
"Alfreds Futterkiste", "GermanyGermany"
"Alfreds Futterkiste", "GermanyGermany"
"Alfreds Futterkiste", "GermanyGermany"
"Alfreds Futterkiste", "GermanyGermany"
"Alfreds Futterkiste", "GermanyGermany"
"Ana Trujillo Emparedados y helados", "MexicoMexico"
"Ana Trujillo Emparedados y helados", "MexicoMexico"
"Ana Trujillo Emparedados y helados", "MexicoMexico"
"Ana Trujillo Emparedados y helados", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Antonio Moreno Taquería", "MexicoMexico"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"Around the Horn", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"B's Beverages", "UKUK"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Berglunds snabbköp", "SwedenSweden"
"Blauer See Delikatessen", "GermanyGermany"
"Blauer See Delikatessen", "GermanyGermany"
"Blauer See Delikatessen", "GermanyGermany"
"Blauer See Delikatessen", "GermanyGermany"
"Blauer See Delikatessen", "GermanyGermany"
"Blauer See Delikatessen", "GermanyGermany"
"Blauer See Delikatessen", "GermanyGermany"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Blondesddsl père et fils", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bon app'", "FranceFrance"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bottom-Dollar Markets", "CanadaCanada"
"Bólido Comidas preparadas", "SpainSpain"
"Bólido Comidas preparadas", "SpainSpain"
"Bólido Comidas preparadas", "SpainSpain"
"Cactus Comidas para llevar", "ArgentinaArgentina"
"Cactus Comidas para llevar", "ArgentinaArgentina"
"Cactus Comidas para llevar", "ArgentinaArgentina"
"Cactus Comidas para llevar", "ArgentinaArgentina"
"Cactus Comidas para llevar", "ArgentinaArgentina"
"Cactus Comidas para llevar", "ArgentinaArgentina"
"Centro comercial Moctezuma", "MexicoMexico"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Chop-suey Chinese", "SwitzerlandSwitzerland"
"Comércio Mineiro", "BrazilBrazil"
"Comércio Mineiro", "BrazilBrazil"
"Comércio Mineiro", "BrazilBrazil"
"Comércio Mineiro", "BrazilBrazil"
"Comércio Mineiro", "BrazilBrazil"
"Consolidated Holdings", "UKUK"
"Consolidated Holdings", "UKUK"
"Consolidated Holdings", "UKUK"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Die Wandernde Kuh", "GermanyGermany"
"Drachenblut Delikatessen", "GermanyGermany"
"Drachenblut Delikatessen", "GermanyGermany"
"Drachenblut Delikatessen", "GermanyGermany"
"Drachenblut Delikatessen", "GermanyGermany"
"Drachenblut Delikatessen", "GermanyGermany"
"Drachenblut Delikatessen", "GermanyGermany"
"Du monde entier", "FranceFrance"
"Du monde entier", "FranceFrance"
"Du monde entier", "FranceFrance"
"Du monde entier", "FranceFrance"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Eastern Connection", "UKUK"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Ernst Handel", "AustriaAustria"
"Familia Arquibaldo", "BrazilBrazil"
"Familia Arquibaldo", "BrazilBrazil"
"Familia Arquibaldo", "BrazilBrazil"
"Familia Arquibaldo", "BrazilBrazil"
"Familia Arquibaldo", "BrazilBrazil"
"Familia Arquibaldo", "BrazilBrazil"
"Familia Arquibaldo", "BrazilBrazil"
"Folies gourmandes", "FranceFrance"
"Folies gourmandes", "FranceFrance"
"Folies gourmandes", "FranceFrance"
"Folies gourmandes", "FranceFrance"
"Folies gourmandes", "FranceFrance"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"Folk och fä HB", "SwedenSweden"
"France restauration", "FranceFrance"
"France restauration", "FranceFrance"
"France restauration", "FranceFrance"
"Franchi S.p.A.", "ItalyItaly"
"Franchi S.p.A.", "ItalyItaly"
"Franchi S.p.A.", "ItalyItaly"
"Franchi S.p.A.", "ItalyItaly"
"Franchi S.p.A.", "ItalyItaly"
"Franchi S.p.A.", "ItalyItaly"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Frankenversand", "GermanyGermany"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"Furia Bacalhau e Frutos do Mar", "PortugalPortugal"
"GROSELLA-Restaurante", "VenezuelaVenezuela"
"GROSELLA-Restaurante", "VenezuelaVenezuela"
"Galería del gastrónomo", "SpainSpain"
"Galería del gastrónomo", "SpainSpain"
"Galería del gastrónomo", "SpainSpain"
"Galería del gastrónomo", "SpainSpain"
"Galería del gastrónomo", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Godos Cocina Típica", "SpainSpain"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Gourmet Lanchonetes", "BrazilBrazil"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"Great Lakes Food Market", "USAUSA"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"HILARION-Abastos", "VenezuelaVenezuela"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hanari Carnes", "BrazilBrazil"
"Hungry Coyote Import Store", "USAUSA"
"Hungry Coyote Import Store", "USAUSA"
"Hungry Coyote Import Store", "USAUSA"
"Hungry Coyote Import Store", "USAUSA"
"Hungry Coyote Import Store", "USAUSA"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Hungry Owl All-Night Grocers", "IrelandIreland"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Island Trading", "UKUK"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
