"Name", "id"
"Alfreds Futterkiste", "ALFKI"
"Ana Trujillo Emparedados y helados", "ANATR"
"Antonio Moreno Taquería", "ANTON"
"Around the Horn", "AROUT"
"B's Beverages", "BSBEV"
"Berglunds snabbköp", "BERGS"
"Blauer See Delikatessen", "BLAUS"
"Blondesddsl père et fils", "BLONP"
"Bon app'", "BONAP"
"Bottom-Dollar Markets", "BOTTM"
"Bólido Comidas preparadas", "BOLID"
"Cactus Comidas para llevar", "CACTU"
"Centro comercial Moctezuma", "CENTC"
"Chop-suey Chinese", "CHOPS"
"Comércio Mineiro", "COMMI"
"Consolidated Holdings", "CONSH"
"Die Wandernde Kuh", "WANDK"
"Drachenblut Delikatessen", "DRACD"
"Du monde entier", "DUMON"
"Eastern Connection", "EASTC"
"Ernst Handel", "ERNSH"
"FISSA Fabrica Inter. Salchichas S.A.", "FISSA"
"Familia Arquibaldo", "FAMIA"
"Folies gourmandes", "FOLIG"
"Folk och fä HB", "FOLKO"
"France restauration", "FRANR"
"Franchi S.p.A.", "FRANS"
"Frankenversand", "FRANK"
"Furia Bacalhau e Frutos do Mar", "FURIB"
"GROSELLA-Restaurante", "GROSR"
"Galería del gastrónomo", "GALED"
"Godos Cocina Típica", "GODOS"
"Gourmet Lanchonetes", "GOURL"
"Great Lakes Food Market", "GREAL"
"HILARION-Abastos", "HILAA"
"Hanari Carnes", "HANAR"
"Hungry Coyote Import Store", "HUNGC"
"Hungry Owl All-Night Grocers", "HUNGO"
"Island Trading", "ISLAT"
"Königlich Essen", "KOENE"
"LILA-Supermercado", "LILAS"
"LINO-Delicateses", "LINOD"
"La corne d'abondance", "LACOR"
"La maison d'Asie", "LAMAI"
"Laughing Bacchus Wine Cellars", "LAUGB"
"Lazy K Kountry Store", "LAZYK"
"Lehmanns Marktstand", "LEHMS"
"Let's Stop N Shop", "LETSS"
"Lonesome Pine Restaurant", "LONEP"
"Magazzini Alimentari Riuniti", "MAGAA"
"Maison Dewey", "MAISD"
"Morgenstern Gesundkost", "MORGK"
"Mère Paillarde", "MEREP"
"North/South", "NORTS"
"Océano Atlántico Ltda.", "OCEAN"
"Old World Delicatessen", "OLDWO"
"Ottilies Käseladen", "OTTIK"
"Paris spécialités", "PARIS"
"Pericles Comidas clásicas", "PERIC"
"Piccolo und mehr", "PICCO"
"Princesa Isabel Vinhos", "PRINI"
"QUICK-Stop", "QUICK"
"Que Delícia", "QUEDE"
"Queen Cozinha", "QUEEN"
"Rancho grande", "RANCH"
"Rattlesnake Canyon Grocery", "RATTC"
"Reggiani Caseifici", "REGGC"
"Ricardo Adocicados", "RICAR"
"Richter Supermarkt", "RICSU"
"Romero y tomillo", "ROMEY"
"Santé Gourmet", "SANTG"
"Save-a-lot Markets", "SAVEA"
"Seven Seas Imports", "SEVES"
"Simons bistro", "SIMOB"
"Split Rail Beer & Ale", "SPLIR"
"Spécialités du monde", "SPECD"
"Suprêmes délices", "SUPRD"
"The Big Cheese", "THEBI"
"The Cracker Box", "THECR"
"Toms Spezialitäten", "TOMSP"
"Tortuga Restaurante", "TORTU"
"Tradição Hipermercados", "TRADH"
"Trail's Head Gourmet Provisioners", "TRAIH"
"Vaffeljernet", "VAFFE"
"Victuailles en stock", "VICTE"
"Vins et alcools Chevalier", "VINET"
"Wartian Herkku", "WARTH"
"Wellington Importadora", "WELLI"
"White Clover Markets", "WHITC"
"Wilman Kala", "WILMK"
"Wolski  Zajazd", "WOLZA"
