"Id", "Product name", "Name", "4", "Quantity", "product_total", "order_total"
"10435", "Chang", "Consolidated Holdings", "15.2", "10", "152", "631.6"
"10435", "Gustaf's Knäckebröd", "Consolidated Holdings", "16.8", "12", "201.6", "631.6"
"10435", "Mozzarella di Giovanni", "Consolidated Holdings", "27.8", "10", "278", "631.6"
"10462", "Konbu", "Consolidated Holdings", "4.8", "1", "4.8", "156"
"10462", "Tunnbröd", "Consolidated Holdings", "7.2", "21", "151.2", "156"
"10466", "Queso Cabrales", "Comércio Mineiro", "16.8", "10", "168", "216"
"10466", "Spegesild", "Comércio Mineiro", "9.6", "5", "48", "216"
"10494", "Gnocchi di nonna Alice", "Comércio Mineiro", "30.4", "30", "912", "912"
"10519", "Camembert Pierrot", "Chop-suey Chinese", "34", "10", "340", "2356"
"10519", "Gnocchi di nonna Alice", "Chop-suey Chinese", "38", "40", "1520", "2356"
"10519", "Ikura", "Chop-suey Chinese", "31", "16", "496", "2356"
"10521", "Jack's New England Clam Chowder", "Cactus Comidas para llevar", "9.65", "10", "96.5", "225.5"
"10521", "Scottish Longbreads", "Cactus Comidas para llevar", "12.5", "6", "75", "225.5"
"10521", "Steeleye Stout", "Cactus Comidas para llevar", "18", "3", "54", "225.5"
"10731", "Manjimup Dried Apples", "Chop-suey Chinese", "53", "30", "1590", "1990"
"10731", "Sir Rodney's Scones", "Chop-suey Chinese", "10", "40", "400", "1990"
"10746", "Gudbrandsdalsost", "Chop-suey Chinese", "36", "40", "1440", "2311.699991"
"10746", "Konbu", "Chop-suey Chinese", "6", "6", "36", "2311.699991"
"10746", "Singaporean Hokkien Fried Mee", "Chop-suey Chinese", "14", "28", "392", "2311.699991"
"10746", "Tarte au sucre", "Chop-suey Chinese", "49.299999", "9", "443.699991", "2311.699991"
"10782", "Gorgonzola Telino", "Cactus Comidas para llevar", "12.5", "1", "12.5", "12.5"
