"Name", "Unit price", "Product name", "moving_avg_price"
"Beverages", "14", "Laughing Lumberjack Lager", "11.9167"
"Beverages", "14", "Sasquatch Ale", "14.3333"
"Beverages", "15", "Outback Lager", "15.6667"
"Beverages", "18", "Chai", "17"
"Beverages", "18", "Chartreuse verte", "18"
"Beverages", "18", "Lakkalikööri", "18"
"Beverages", "18", "Steeleye Stout", "18.3333"
"Beverages", "19", "Chang", "27.6667"
"Beverages", "263.5", "Côte de Blaye", "154.75"
"Beverages", "4.5", "Guaraná Fantástica", "6.125"
"Beverages", "46", "Ipoh Coffee", "109.5"
"Beverages", "7.75", "Rhönbräu Klosterbier", "8.75"
"Condiments", "10", "Aniseed Syrup", "11.5"
"Condiments", "13", "Genen Shouyu", "12"
"Condiments", "13", "Original Frankfurter grüne Soße", "14.3333"
"Condiments", "17", "Louisiana Hot Spiced Okra", "16.4833"
"Condiments", "19.45", "Gula Malacca", "19.1667"
"Condiments", "21.05", "Louisiana Fiery Hot Pepper Sauce", "20.6167"
"Condiments", "21.35", "Chef Anton's Gumbo Mix", "21.4667"
"Condiments", "22", "Chef Anton's Cajun Seasoning", "22.7833"
"Condiments", "25", "Grandma's Boysenberry Spread", "25.1667"
"Condiments", "28.5", "Sirop d'érable", "31.1667"
"Condiments", "40", "Northwoods Cranberry Sauce", "37.4667"
"Condiments", "43.9", "Vegie-spread", "41.95"
"Confections", "10", "Sir Rodney's Scones", "10.6667"
"Confections", "12.5", "Scottish Longbreads", "11.75"
"Confections", "12.75", "Chocolade", "13.0833"
"Confections", "14", "NuNuCa Nuß-Nougat-Creme", "14.3333"
"Confections", "16.25", "Valkoinen suklaa", "15.9"
"Confections", "17.45", "Pavlova", "17.9"
"Confections", "20", "Maxilaku", "22.8933"
"Confections", "31.23", "Gumbär Gummibärchen", "31.71"
"Confections", "43.9", "Schoggi Schokolade", "41.4767"
"Confections", "49.3", "Tarte au sucre", "58.0667"
"Confections", "81", "Sir Rodney's Marmalade", "65.15"
"Confections", "9.2", "Teatime Chocolate Biscuits", "9.35"
"Confections", "9.5", "Zaanse koeken", "9.56667"
"Dairy Products", "12.5", "Gorgonzola Telino", "12"
"Dairy Products", "2.5", "Geitost", "7.5"
"Dairy Products", "21", "Queso Cabrales", "18.3333"
"Dairy Products", "21.5", "Flotemysost", "24.8333"
"Dairy Products", "32", "Mascarpone Fabioli", "29.1667"
"Dairy Products", "34", "Camembert Pierrot", "33.6"
"Dairy Products", "34.8", "Mozzarella di Giovanni", "34.9333"
"Dairy Products", "36", "Gudbrandsdalsost", "36.2667"
"Dairy Products", "38", "Queso Manchego La Pastora", "43"
"Dairy Products", "55", "Raclette Courdavault", "46.5"
"Grains/Cereals", "14", "Singaporean Hokkien Fried Mee", "14.1667"
"Grains/Cereals", "19.5", "Ravioli Angelo", "18.1667"
"Grains/Cereals", "21", "Gustaf's Knäckebröd", "24.5833"
"Grains/Cereals", "33.25", "Wimmers gute Semmelknödel", "30.75"
"Grains/Cereals", "38", "Gnocchi di nonna Alice", "35.625"
"Grains/Cereals", "7", "Filo Mix", "8"
"Grains/Cereals", "9", "Tunnbröd", "10"
"Meat/Poultry", "123.79", "Thüringer Rostbratwurst", "110.395"
"Meat/Poultry", "24", "Pâté chinois", "21.4167"
"Meat/Poultry", "32.8", "Perth Pasties", "31.9333"
"Meat/Poultry", "39", "Alice Mutton", "56.2667"
"Meat/Poultry", "7.45", "Tourtière", "15.725"
"Meat/Poultry", "97", "Mishi Kobe Niku", "86.5967"
"Produce", "10", "Longlife Tofu", "16.625"
"Produce", "23.25", "Tofu", "21.0833"
"Produce", "30", "Uncle Bob's Organic Dried Pears", "32.95"
"Produce", "45.6", "Rössle Sauerkraut", "42.8667"
"Produce", "53", "Manjimup Dried Apples", "49.3"
"Seafood", "12", "Spegesild", "11.6333"
"Seafood", "13.25", "Escargots de Bourgogne", "13.4167"
"Seafood", "15", "Röd Kaviar", "15.55"
"Seafood", "18.4", "Boston Crab Meat", "17.4667"
"Seafood", "19", "Inlagd Sill", "21.0967"
"Seafood", "25.89", "Nord-Ost Matjeshering", "23.63"
"Seafood", "26", "Gravad lax", "27.63"
"Seafood", "31", "Ikura", "39.8333"
"Seafood", "6", "Konbu", "7.75"
"Seafood", "62.5", "Carnarvon Tigers", "46.75"
"Seafood", "9.5", "Rogede sild", "8.38333"
"Seafood", "9.65", "Jack's New England Clam Chowder", "10.3833"
