"Name", "Product name", "Unit price", "category_avg_price"
"Confections", "Chocolade", "12.75", "25.16"
"Confections", "Gumbär Gummibärchen", "31.23", "25.16"
"Confections", "Maxilaku", "20", "25.16"
"Confections", "NuNuCa Nuß-Nougat-Creme", "14", "25.16"
"Confections", "Pavlova", "17.45", "25.16"
"Confections", "Schoggi Schokolade", "43.9", "25.16"
"Confections", "Scottish Longbreads", "12.5", "25.16"
"Confections", "Sir Rodney's Marmalade", "81", "25.16"
"Confections", "Sir Rodney's Scones", "10", "25.16"
"Confections", "Tarte au sucre", "49.3", "25.16"
"Confections", "Teatime Chocolate Biscuits", "9.2", "25.16"
"Confections", "Valkoinen suklaa", "16.25", "25.16"
"Confections", "Zaanse koeken", "9.5", "25.16"
"Dairy Products", "Camembert Pierrot", "34", "28.73"
"Dairy Products", "Flotemysost", "21.5", "28.73"
"Dairy Products", "Geitost", "2.5", "28.73"
"Dairy Products", "Gorgonzola Telino", "12.5", "28.73"
"Dairy Products", "Gudbrandsdalsost", "36", "28.73"
"Dairy Products", "Mascarpone Fabioli", "32", "28.73"
"Dairy Products", "Mozzarella di Giovanni", "34.8", "28.73"
"Dairy Products", "Queso Cabrales", "21", "28.73"
"Dairy Products", "Queso Manchego La Pastora", "38", "28.73"
"Dairy Products", "Raclette Courdavault", "55", "28.73"
"Produce", "Longlife Tofu", "10", "32.37"
"Produce", "Manjimup Dried Apples", "53", "32.37"
"Produce", "Rössle Sauerkraut", "45.6", "32.37"
"Produce", "Tofu", "23.25", "32.37"
"Produce", "Uncle Bob's Organic Dried Pears", "30", "32.37"
