"Col: 1", "Col: 2", "Col: 3", "rnk"
"Beverages", "Chai", "14277.6", "6"
"Beverages", "Chang", "18559.2", "3"
"Beverages", "Chartreuse verte", "13150.8", "7"
"Beverages", "Côte de Blaye", "149984.2", "1"
"Beverages", "Guaraná Fantástica", "4782.6", "11"
"Beverages", "Ipoh Coffee", "25079.2", "2"
"Beverages", "Lakkalikööri", "16794", "4"
"Beverages", "Laughing Lumberjack Lager", "2562", "12"
"Beverages", "Outback Lager", "11472", "8"
"Beverages", "Rhönbräu Klosterbier", "8650.55", "9"
"Beverages", "Sasquatch Ale", "6678", "10"
"Beverages", "Steeleye Stout", "14536.8", "5"
