"employee_id", "Order Date", "Id", "Freight", "cumulative_freight"
"1", "2022-07-17", "10258", "140.51", "140.51"
"1", "2022-08-01", "10270", "136.54", "277.05"
"1", "2022-08-07", "10275", "26.93", "303.98"
"1", "2022-08-20", "10285", "76.83", "380.81"
"1", "2022-08-28", "10292", "1.35", "382.16"
"1", "2022-08-29", "10293", "21.18", "403.34"
"1", "2022-09-12", "10304", "63.79", "467.13"
"1", "2022-09-16", "10306", "7.56", "474.69"
"1", "2022-09-20", "10311", "24.69", "499.38"
"1", "2022-09-25", "10314", "74.16", "573.54"
"1", "2022-09-27", "10316", "150.15", "723.69"
"1", "2022-10-09", "10325", "64.86", "788.55"
"1", "2022-10-29", "10340", "166.31", "954.86"
"1", "2022-11-11", "10351", "162.33", "1117.19"
"1", "2022-11-19", "10357", "34.88", "1152.07"
"1", "2022-11-22", "10361", "183.17", "1335.24"
"1", "2022-11-26", "10364", "71.97", "1407.21"
"1", "2022-12-03", "10371", "0.45", "1407.66"
"1", "2022-12-05", "10374", "3.94", "1411.6"
"1", "2022-12-09", "10376", "20.39", "1431.99"
"1", "2022-12-09", "10377", "22.21", "1454.2"
"1", "2022-12-17", "10385", "30.96", "1485.16"
"1", "2022-12-18", "10387", "93.63", "1578.79"
"1", "2022-12-25", "10393", "126.56", "1705.35"
"1", "2022-12-25", "10394", "30.34", "1735.69"
"1", "2022-12-27", "10396", "135.35", "1871.04"
"1", "2023-01-01", "10400", "83.93", "1954.97"
"1", "2023-01-01", "10401", "12.51", "1967.48"
"1", "2023-01-06", "10405", "34.82", "2002.3"
"1", "2023-02-21", "10453", "25.36", "2027.66"
"1", "2023-02-28", "10461", "148.61", "2176.27"
"1", "2023-03-05", "10465", "145.04", "2321.31"
"1", "2023-03-10", "10469", "60.18", "2381.49"
"1", "2023-03-13", "10473", "16.37", "2397.86"
"1", "2023-03-21", "10482", "7.48", "2405.34"
"1", "2023-03-26", "10486", "30.53", "2435.87"
"1", "2023-04-16", "10508", "4.99", "2440.86"
"1", "2023-05-01", "10524", "244.79", "2685.65"
"1", "2023-05-02", "10525", "11.06", "2696.71"
"1", "2023-05-14", "10537", "78.85", "2775.56"
"1", "2023-05-20", "10542", "10.95", "2786.51"
"1", "2023-05-23", "10546", "194.72", "2981.23"
"1", "2023-06-04", "10558", "72.97", "3054.2"
"1", "2023-06-09", "10562", "22.95", "3077.15"
"1", "2023-06-12", "10567", "33.97", "3111.12"
"1", "2023-06-25", "10579", "13.73", "3124.85"
"1", "2023-07-02", "10587", "62.52", "3187.37"
"1", "2023-07-07", "10591", "55.92", "3243.29"
"1", "2023-07-14", "10598", "44.42", "3287.71"
"1", "2023-07-18", "10604", "7.46", "3295.17"
"1", "2023-07-21", "10605", "379.13", "3674.3"
"1", "2023-07-28", "10612", "544.08", "4218.38"
"1", "2023-07-31", "10616", "116.53", "4334.91"
"1", "2023-08-01", "10618", "154.68", "4489.59"
"1", "2023-08-11", "10626", "138.69", "4628.28"
"1", "2023-08-13", "10630", "32.35", "4660.63"
"1", "2023-09-02", "10653", "93.25", "4753.88"
"1", "2023-09-03", "10655", "4.41", "4758.29"
"1", "2023-09-10", "10664", "1.27", "4759.56"
"1", "2023-09-11", "10665", "26.31", "4785.87"
"1", "2023-09-15", "10668", "47.22", "4833.09"
"1", "2023-09-17", "10671", "30.34", "4863.43"
"1", "2023-09-22", "10677", "4.03", "4867.46"
"1", "2023-09-24", "10680", "26.61", "4894.07"
"1", "2023-10-01", "10689", "13.42", "4907.49"
"1", "2023-10-02", "10690", "15.8", "4923.29"
"1", "2023-10-17", "10709", "210.8", "5134.09"
"1", "2023-10-20", "10710", "4.98", "5139.07"
"1", "2023-10-22", "10713", "167.05", "5306.12"
"1", "2023-10-24", "10717", "59.25", "5365.37"
"1", "2023-10-27", "10718", "170.88", "5536.25"
"1", "2023-11-07", "10733", "110.11", "5646.36"
"1", "2023-11-17", "10743", "23.72", "5670.08"
"1", "2023-11-19", "10746", "31.43", "5701.51"
"1", "2023-12-11", "10773", "96.43", "5797.94"
"1", "2023-12-15", "10776", "351.53", "6149.47"
"1", "2023-12-18", "10785", "1.51", "6150.98"
"1", "2023-12-22", "10788", "42.7", "6193.68"
"1", "2023-12-22", "10789", "100.6", "6294.28"
"1", "2023-12-23", "10792", "23.79", "6318.07"
"1", "2023-12-26", "10800", "137.44", "6455.51"
"1", "2024-01-05", "10813", "47.38", "6502.89"
"1", "2024-01-08", "10821", "36.68", "6539.57"
"1", "2024-01-09", "10825", "79.25", "6618.82"
"1", "2024-01-12", "10827", "63.54", "6682.36"
"1", "2024-01-15", "10834", "29.78", "6712.14"
"1", "2024-01-15", "10835", "69.53", "6781.67"
"1", "2024-01-20", "10842", "54.42", "6836.09"
"1", "2024-01-23", "10850", "49.19", "6885.28"
"1", "2024-01-29", "10859", "76.1", "6961.38"
"1", "2024-02-09", "10877", "38.06", "6999.44"
"1", "2024-02-13", "10886", "4.99", "7004.43"
"1", "2024-02-16", "10888", "51.87", "7056.3"
"1", "2024-02-18", "10894", "116.13", "7172.43"
"1", "2024-02-20", "10900", "1.66", "7174.09"
"1", "2024-02-23", "10902", "44.15", "7218.24"
"1", "2024-02-26", "10909", "53.05", "7271.29"
"1", "2024-02-26", "10910", "38.11", "7309.4"
"1", "2024-02-27", "10916", "63.77", "7373.17"
"1", "2024-03-03", "10921", "176.48", "7549.65"
"1", "2024-03-05", "10928", "1.36", "7551.01"
"1", "2024-03-12", "10946", "27.2", "7578.21"
"1", "2024-03-16", "10950", "2.5", "7580.71"
"1", "2024-03-16", "10952", "40.42", "7621.13"
"1", "2024-03-23", "10968", "74.6", "7695.73"
"1", "2024-03-23", "10969", "0.21", "7695.94"
"1", "2024-03-25", "10975", "32.27", "7728.21"
"1", "2024-03-25", "10976", "37.97", "7766.18"
"1", "2024-03-27", "10981", "193.37", "7959.55"
"1", "2024-03-30", "10984", "211.22", "8170.77"
"1", "2024-04-01", "10991", "38.51", "8209.28"
"1", "2024-04-01", "10992", "4.27", "8213.55"
"1", "2024-04-02", "10995", "46", "8259.55"
"1", "2024-04-09", "11012", "242.95", "8502.5"
"1", "2024-04-14", "11023", "123.83", "8626.33"
"1", "2024-04-16", "11027", "52.52", "8678.85"
"1", "2024-04-21", "11038", "29.59", "8708.44"
"1", "2024-04-21", "11039", "65", "8773.44"
"1", "2024-05-01", "11064", "30.09", "8803.53"
"1", "2024-05-04", "11067", "7.98", "8811.51"
"1", "2024-05-04", "11069", "15.67", "8827.18"
"1", "2024-05-05", "11071", "0.93", "8828.11"
"1", "2024-05-06", "11077", "8.53", "8836.64"
"2", "2022-07-25", "10265", "55.28", "55.28"
"2", "2022-08-09", "10277", "125.77", "181.05"
"2", "2022-08-14", "10280", "8.98", "190.03"
"2", "2022-09-02", "10295", "1.15", "191.18"
"2", "2022-09-09", "10300", "17.68", "208.86"
"2", "2022-09-17", "10307", "0.56", "209.42"
"2", "2022-09-23", "10312", "40.26", "249.68"
"2", "2022-09-24", "10313", "1.96", "251.64"
"2", "2022-10-11", "10327", "63.36", "315"
"2", "2022-10-28", "10339", "15.66", "330.66"
"2", "2022-11-04", "10345", "249.06", "579.72"
"2", "2022-11-29", "10368", "101.95", "681.67"
"2", "2022-12-11", "10379", "45.03", "726.7"
"2", "2022-12-19", "10388", "34.86", "761.56"
"2", "2022-12-24", "10392", "122.46", "884.02"
"2", "2022-12-30", "10398", "89.16", "973.18"
"2", "2023-01-03", "10404", "155.97", "1129.15"
"2", "2023-01-07", "10407", "91.48", "1220.63"
"2", "2023-01-14", "10414", "21.48", "1242.11"
"2", "2023-01-22", "10422", "3.02", "1245.13"
"2", "2023-02-25", "10457", "11.57", "1256.7"
"2", "2023-03-03", "10462", "6.17", "1262.87"
"2", "2023-03-11", "10471", "45.59", "1308.46"
"2", "2023-03-18", "10478", "4.81", "1313.27"
"2", "2023-03-26", "10487", "71.07", "1384.34"
"2", "2023-04-10", "10502", "69.32", "1453.66"
"2", "2023-04-23", "10515", "204.47", "1658.13"
"2", "2023-04-24", "10516", "62.78", "1720.91"
"2", "2023-05-19", "10541", "68.65", "1789.56"
"2", "2023-05-29", "10552", "83.22", "1872.78"
"2", "2023-05-30", "10553", "149.49", "2022.27"
"2", "2023-06-03", "10556", "9.8", "2032.07"
"2", "2023-06-06", "10561", "242.21", "2274.28"
"2", "2023-06-10", "10563", "60.43", "2334.71"
"2", "2023-06-30", "10583", "7.28", "2341.99"
"2", "2023-07-03", "10588", "194.67", "2536.66"
"2", "2023-07-10", "10595", "96.78", "2633.44"
"2", "2023-07-30", "10615", "0.75", "2634.19"
"2", "2023-08-05", "10620", "0.94", "2635.13"
"2", "2023-09-04", "10657", "352.69", "2987.82"
"2", "2023-09-10", "10663", "113.15", "3100.97"
"2", "2023-09-15", "10669", "24.39", "3125.36"
"2", "2023-09-18", "10673", "22.76", "3148.12"
"2", "2023-09-22", "10676", "2.01", "3150.13"
"2", "2023-09-26", "10683", "4.4", "3154.53"
"2", "2023-09-30", "10686", "96.5", "3251.03"
"2", "2023-10-03", "10691", "810.05", "4061.08"
"2", "2023-11-03", "10727", "89.9", "4150.98"
"2", "2023-11-07", "10734", "1.63", "4152.61"
"2", "2023-11-11", "10737", "7.79", "4160.4"
"2", "2023-11-12", "10738", "2.91", "4163.31"
"2", "2023-11-24", "10752", "1.39", "4164.7"
"2", "2023-12-16", "10780", "42.13", "4206.83"
"2", "2023-12-17", "10781", "73.16", "4279.99"
"2", "2023-12-19", "10787", "249.93", "4529.92"
"2", "2023-12-26", "10798", "2.33", "4532.25"
"2", "2023-12-30", "10805", "237.34", "4769.59"
"2", "2024-01-01", "10808", "45.53", "4815.12"
"2", "2024-01-01", "10810", "4.33", "4819.45"
