"Id", "Customer", "Ship City", "cities"
"10308", "ANATR", "México D.F.", "México D.F."
"10625", "ANATR", "México D.F.", "México D.F.,México D.F."
"10643", "ALFKI", "Berlin", "Berlin"
"10692", "ALFKI", "Berlin", "Berlin,Berlin"
"10702", "ALFKI", "Berlin", "Berlin,Berlin,Berlin"
"10759", "ANATR", "México D.F.", "México D.F.,México D.F.,México D.F."
"10835", "ALFKI", "Berlin", "Berlin,Berlin,Berlin,Berlin"
"10926", "ANATR", "México D.F.", "México D.F.,México D.F.,México D.F.,México D.F."
"10952", "ALFKI", "Berlin", "Berlin,Berlin,Berlin,Berlin,Berlin"
"11011", "ALFKI", "Berlin", "Berlin,Berlin,Berlin,Berlin,Berlin,Berlin"
